Entity,Code,Year,freeassoc_vdem_owid,freeassoc_vdem_high_owid,freeassoc_vdem_low_owid
Belgium,BEL,1879,0.831,0.901,0.74
Belgium,BEL,1880,0.831,0.9,0.734
Belgium,BEL,1881,0.831,0.899,0.729
Belgium,BEL,1882,0.83,0.893,0.723
Belgium,BEL,1883,0.829,0.889,0.719
Belgium,BEL,1884,0.83,0.893,0.724
Belgium,BEL,1885,0.83,0.896,0.729
Belgium,BEL,1886,0.786,0.861,0.681
Belgium,BEL,1887,0.786,0.858,0.674
Belgium,BEL,1888,0.787,0.858,0.672
Belgium,BEL,1889,0.788,0.857,0.67
Belgium,BEL,1890,0.79,0.862,0.677
Belgium,BEL,1891,0.792,0.866,0.683
Belgium,BEL,1892,0.79,0.868,0.684
Belgium,BEL,1893,0.84,0.903,0.749
Belgium,BEL,1894,0.873,0.927,0.797
Belgium,BEL,1895,0.876,0.931,0.81
Belgium,BEL,1896,0.873,0.929,0.806
Belgium,BEL,1897,0.87,0.928,0.802
Belgium,BEL,1898,0.87,0.927,0.804
Belgium,BEL,1899,0.869,0.927,0.805
Belgium,BEL,1900,0.875,0.93,0.811
Belgium,BEL,1901,0.879,0.932,0.815
Belgium,BEL,1902,0.878,0.93,0.811
Belgium,BEL,1903,0.878,0.929,0.808
Belgium,BEL,1904,0.879,0.929,0.808
Belgium,BEL,1905,0.88,0.929,0.808
Belgium,BEL,1906,0.879,0.928,0.806
Belgium,BEL,1907,0.878,0.927,0.805
Belgium,BEL,1908,0.879,0.928,0.811
Belgium,BEL,1909,0.88,0.93,0.816
Belgium,BEL,1910,0.88,0.93,0.812
Belgium,BEL,1911,0.88,0.93,0.811
Belgium,BEL,1912,0.879,0.927,0.808
Belgium,BEL,1913,0.879,0.925,0.806
Belgium,BEL,1914,0.634,0.732,0.52
Belgium,BEL,1915,0.506,0.613,0.397
Belgium,BEL,1916,0.506,0.613,0.397
Belgium,BEL,1917,0.506,0.613,0.397
Belgium,BEL,1918,0.628,0.742,0.528
Belgium,BEL,1919,0.807,0.874,0.703
Belgium,BEL,1920,0.868,0.918,0.776
Belgium,BEL,1921,0.868,0.919,0.778
Belgium,BEL,1922,0.868,0.924,0.794
Belgium,BEL,1923,0.868,0.924,0.794
Belgium,BEL,1924,0.868,0.924,0.794
Belgium,BEL,1925,0.868,0.926,0.797
Belgium,BEL,1926,0.868,0.927,0.798
Belgium,BEL,1927,0.868,0.927,0.798
Belgium,BEL,1928,0.868,0.927,0.798
Belgium,BEL,1929,0.869,0.925,0.797
Belgium,BEL,1930,0.864,0.92,0.786
Belgium,BEL,1931,0.864,0.92,0.786
Belgium,BEL,1932,0.864,0.92,0.787
Belgium,BEL,1933,0.866,0.923,0.796
Belgium,BEL,1934,0.866,0.923,0.796
Belgium,BEL,1935,0.866,0.923,0.796
Belgium,BEL,1936,0.864,0.921,0.79
Belgium,BEL,1937,0.875,0.93,0.809
Belgium,BEL,1938,0.875,0.93,0.809
Belgium,BEL,1939,0.874,0.929,0.805
Belgium,BEL,1940,0.51,0.642,0.401
Belgium,BEL,1941,0.365,0.492,0.266
Belgium,BEL,1942,0.365,0.492,0.266
Belgium,BEL,1943,0.365,0.492,0.266
Belgium,BEL,1944,0.389,0.507,0.279
Belgium,BEL,1945,0.492,0.619,0.378
Belgium,BEL,1946,0.877,0.925,0.802
Belgium,BEL,1947,0.886,0.932,0.814
Belgium,BEL,1948,0.886,0.932,0.814
Belgium,BEL,1949,0.886,0.932,0.814
Belgium,BEL,1950,0.888,0.934,0.819
Belgium,BEL,1951,0.888,0.934,0.819
Belgium,BEL,1952,0.888,0.934,0.819
Belgium,BEL,1953,0.888,0.934,0.819
Belgium,BEL,1954,0.888,0.936,0.82
Belgium,BEL,1955,0.887,0.936,0.82
Belgium,BEL,1956,0.887,0.936,0.82
Belgium,BEL,1957,0.887,0.936,0.82
Belgium,BEL,1958,0.886,0.937,0.82
Belgium,BEL,1959,0.886,0.938,0.82
Belgium,BEL,1960,0.886,0.938,0.82
Belgium,BEL,1961,0.887,0.934,0.821
Belgium,BEL,1962,0.896,0.944,0.833
Belgium,BEL,1963,0.896,0.944,0.833
Belgium,BEL,1964,0.896,0.944,0.833
Belgium,BEL,1965,0.896,0.944,0.832
Belgium,BEL,1966,0.895,0.945,0.832
Belgium,BEL,1967,0.895,0.945,0.832
Belgium,BEL,1968,0.896,0.943,0.833
Belgium,BEL,1969,0.896,0.943,0.834
Belgium,BEL,1970,0.896,0.943,0.834
Belgium,BEL,1971,0.896,0.942,0.833
Belgium,BEL,1972,0.898,0.939,0.826
Belgium,BEL,1973,0.898,0.939,0.826
Belgium,BEL,1974,0.897,0.94,0.825
Belgium,BEL,1975,0.897,0.94,0.825
Belgium,BEL,1976,0.897,0.94,0.825
Belgium,BEL,1977,0.895,0.938,0.823
Belgium,BEL,1978,0.894,0.937,0.822
Belgium,BEL,1979,0.895,0.938,0.826
Belgium,BEL,1980,0.91,0.952,0.852
Belgium,BEL,1981,0.895,0.946,0.835
Belgium,BEL,1982,0.896,0.943,0.833
Belgium,BEL,1983,0.896,0.943,0.833
Belgium,BEL,1984,0.896,0.943,0.833
Belgium,BEL,1985,0.895,0.942,0.831
Belgium,BEL,1986,0.891,0.935,0.822
Belgium,BEL,1987,0.891,0.936,0.822
Belgium,BEL,1988,0.895,0.945,0.833
Belgium,BEL,1989,0.895,0.945,0.833
Belgium,BEL,1990,0.895,0.945,0.833
Belgium,BEL,1991,0.895,0.944,0.833
Belgium,BEL,1992,0.895,0.94,0.829
Belgium,BEL,1993,0.895,0.94,0.829
Belgium,BEL,1994,0.895,0.94,0.829
Belgium,BEL,1995,0.895,0.938,0.824
Belgium,BEL,1996,0.896,0.936,0.822
Belgium,BEL,1997,0.896,0.936,0.822
Belgium,BEL,1998,0.896,0.936,0.822
Belgium,BEL,1999,0.896,0.94,0.828
Belgium,BEL,2000,0.896,0.944,0.834
Belgium,BEL,2001,0.896,0.944,0.834
Belgium,BEL,2002,0.896,0.944,0.834
Belgium,BEL,2003,0.895,0.941,0.83
Belgium,BEL,2004,0.856,0.917,0.781
Belgium,BEL,2005,0.884,0.934,0.819
Belgium,BEL,2006,0.884,0.934,0.819
Belgium,BEL,2007,0.885,0.935,0.82
Belgium,BEL,2008,0.885,0.936,0.82
Belgium,BEL,2009,0.885,0.936,0.82
Belgium,BEL,2010,0.886,0.936,0.823
Belgium,BEL,2011,0.887,0.936,0.824
Belgium,BEL,2012,0.887,0.936,0.824
Belgium,BEL,2013,0.892,0.941,0.835
Belgium,BEL,2014,0.892,0.939,0.828
Belgium,BEL,2015,0.892,0.938,0.823
Belgium,BEL,2016,0.892,0.938,0.823
Belgium,BEL,2017,0.892,0.938,0.823
Belgium,BEL,2018,0.892,0.938,0.823
Belgium,BEL,2019,0.892,0.938,0.824
Belgium,BEL,2020,0.892,0.939,0.825
Belgium,BEL,2021,0.892,0.939,0.825
Belgium,BEL,2022,0.892,0.939,0.825
Bulgaria,BGR,1789,0.071,0.129,0.04
Bulgaria,BGR,1790,0.071,0.129,0.04
Bulgaria,BGR,1791,0.071,0.129,0.04
Bulgaria,BGR,1792,0.071,0.129,0.04
Bulgaria,BGR,1793,0.071,0.129,0.04
Bulgaria,BGR,1794,0.071,0.129,0.04
Bulgaria,BGR,1795,0.071,0.129,0.04
Bulgaria,BGR,1796,0.071,0.129,0.04
Bulgaria,BGR,1797,0.071,0.129,0.04
Bulgaria,BGR,1798,0.071,0.129,0.04
Bulgaria,BGR,1799,0.071,0.129,0.04
Bulgaria,BGR,1800,0.071,0.129,0.04
Bulgaria,BGR,1801,0.071,0.129,0.04
Bulgaria,BGR,1802,0.071,0.129,0.04
Bulgaria,BGR,1803,0.071,0.129,0.04
Bulgaria,BGR,1804,0.071,0.129,0.04
Bulgaria,BGR,1805,0.071,0.129,0.04
Bulgaria,BGR,1806,0.071,0.129,0.04
Bulgaria,BGR,1807,0.071,0.129,0.04
Bulgaria,BGR,1808,0.071,0.129,0.04
Bulgaria,BGR,1809,0.071,0.129,0.04
Bulgaria,BGR,1810,0.071,0.129,0.04
Bulgaria,BGR,1811,0.071,0.129,0.04
Bulgaria,BGR,1812,0.071,0.129,0.04
Bulgaria,BGR,1813,0.071,0.129,0.04
Bulgaria,BGR,1814,0.071,0.129,0.04
Bulgaria,BGR,1815,0.071,0.129,0.04
Bulgaria,BGR,1816,0.071,0.129,0.04
Bulgaria,BGR,1817,0.071,0.129,0.04
Bulgaria,BGR,1818,0.071,0.129,0.04
Bulgaria,BGR,1819,0.071,0.129,0.04
Bulgaria,BGR,1820,0.071,0.129,0.04
Bulgaria,BGR,1821,0.071,0.129,0.04
Bulgaria,BGR,1822,0.071,0.129,0.04
Bulgaria,BGR,1823,0.071,0.129,0.04
Bulgaria,BGR,1824,0.071,0.129,0.04
Bulgaria,BGR,1825,0.071,0.129,0.04
Bulgaria,BGR,1826,0.071,0.129,0.04
Bulgaria,BGR,1827,0.071,0.129,0.04
Bulgaria,BGR,1828,0.071,0.129,0.04
Bulgaria,BGR,1829,0.071,0.129,0.04
Bulgaria,BGR,1830,0.071,0.129,0.04
Bulgaria,BGR,1831,0.071,0.129,0.04
Bulgaria,BGR,1832,0.071,0.129,0.04
Bulgaria,BGR,1833,0.071,0.129,0.04
Bulgaria,BGR,1834,0.071,0.129,0.04
Bulgaria,BGR,1835,0.071,0.129,0.04
Bulgaria,BGR,1836,0.071,0.129,0.04
Bulgaria,BGR,1837,0.071,0.129,0.04
Bulgaria,BGR,1838,0.071,0.129,0.04
Bulgaria,BGR,1839,0.071,0.129,0.04
Bulgaria,BGR,1840,0.065,0.119,0.035
Bulgaria,BGR,1841,0.065,0.119,0.035
Bulgaria,BGR,1842,0.065,0.119,0.035
Bulgaria,BGR,1843,0.065,0.119,0.035
Bulgaria,BGR,1844,0.065,0.119,0.035
Bulgaria,BGR,1845,0.065,0.119,0.035
Bulgaria,BGR,1846,0.065,0.119,0.035
Bulgaria,BGR,1847,0.065,0.119,0.035
Bulgaria,BGR,1848,0.065,0.119,0.035
Bulgaria,BGR,1849,0.065,0.119,0.035
Bulgaria,BGR,1850,0.065,0.119,0.035
Bulgaria,BGR,1851,0.065,0.119,0.035
Bulgaria,BGR,1852,0.065,0.119,0.035
Bulgaria,BGR,1853,0.065,0.119,0.035
Bulgaria,BGR,1854,0.065,0.119,0.035
Bulgaria,BGR,1855,0.065,0.119,0.035
Bulgaria,BGR,1856,0.065,0.119,0.035
Bulgaria,BGR,1857,0.065,0.119,0.035
Bulgaria,BGR,1858,0.065,0.119,0.035
Bulgaria,BGR,1859,0.065,0.119,0.035
Bulgaria,BGR,1860,0.065,0.119,0.035
Bulgaria,BGR,1861,0.065,0.119,0.035
Bulgaria,BGR,1862,0.065,0.119,0.035
Bulgaria,BGR,1863,0.065,0.119,0.035
Bulgaria,BGR,1864,0.065,0.119,0.035
Bulgaria,BGR,1865,0.056,0.1,0.029
Bulgaria,BGR,1866,0.056,0.1,0.029
Bulgaria,BGR,1867,0.056,0.1,0.029
Bulgaria,BGR,1868,0.056,0.1,0.029
Bulgaria,BGR,1869,0.056,0.1,0.029
Bulgaria,BGR,1870,0.056,0.1,0.029
Bulgaria,BGR,1871,0.056,0.1,0.029
Bulgaria,BGR,1872,0.056,0.1,0.029
Bulgaria,BGR,1873,0.056,0.1,0.029
Bulgaria,BGR,1874,0.056,0.1,0.029
Bulgaria,BGR,1875,0.056,0.1,0.029
Bulgaria,BGR,1876,0.451,0.588,0.341
Bulgaria,BGR,1877,0.046,0.085,0.024
Bulgaria,BGR,1878,0.281,0.411,0.164
Bulgaria,BGR,1879,0.671,0.771,0.552
Bulgaria,BGR,1880,0.671,0.771,0.552
Bulgaria,BGR,1881,0.507,0.641,0.401
Bulgaria,BGR,1882,0.474,0.614,0.371
Bulgaria,BGR,1883,0.481,0.599,0.365
Bulgaria,BGR,1884,0.646,0.744,0.518
Bulgaria,BGR,1885,0.673,0.763,0.541
Bulgaria,BGR,1886,0.545,0.665,0.423
Bulgaria,BGR,1887,0.538,0.667,0.426
Bulgaria,BGR,1888,0.497,0.611,0.368
Bulgaria,BGR,1889,0.497,0.611,0.368
Bulgaria,BGR,1890,0.497,0.61,0.368
Bulgaria,BGR,1891,0.495,0.607,0.368
Bulgaria,BGR,1892,0.495,0.607,0.368
Bulgaria,BGR,1893,0.494,0.611,0.369
Bulgaria,BGR,1894,0.509,0.627,0.384
Bulgaria,BGR,1895,0.662,0.769,0.552
Bulgaria,BGR,1896,0.662,0.768,0.552
Bulgaria,BGR,1897,0.664,0.762,0.55
Bulgaria,BGR,1898,0.664,0.762,0.55
Bulgaria,BGR,1899,0.665,0.758,0.545
Bulgaria,BGR,1900,0.658,0.755,0.537
Bulgaria,BGR,1901,0.65,0.75,0.544
Bulgaria,BGR,1902,0.648,0.738,0.522
Bulgaria,BGR,1903,0.648,0.739,0.525
Bulgaria,BGR,1904,0.641,0.739,0.529
