Entity,Code,Year,4_1_PopGrowthRate
Belgium,BEL,2036,
Belgium,BEL,2037,
Belgium,BEL,2038,
Belgium,BEL,2039,
Belgium,BEL,2040,
Belgium,BEL,2041,
Belgium,BEL,2042,
Belgium,BEL,2043,
Belgium,BEL,2044,
Belgium,BEL,2045,
Belgium,BEL,2046,
Belgium,BEL,2047,
Belgium,BEL,2048,
Belgium,BEL,2049,
Belgium,BEL,2050,
Belgium,BEL,2051,
Belgium,BEL,2052,
Belgium,BEL,2053,
Belgium,BEL,2054,
Belgium,BEL,2055,
Belgium,BEL,2056,
Belgium,BEL,2057,
Belgium,BEL,2058,
Belgium,BEL,2059,
Belgium,BEL,2060,
Belgium,BEL,2061,
Belgium,BEL,2062,
Belgium,BEL,2063,
Belgium,BEL,2064,
Belgium,BEL,2065,
Belgium,BEL,2066,
Belgium,BEL,2067,
Belgium,BEL,2068,
Belgium,BEL,2069,
Belgium,BEL,2070,
Belgium,BEL,2071,
Belgium,BEL,2072,
Belgium,BEL,2073,
Belgium,BEL,2074,
Belgium,BEL,2075,
Belgium,BEL,2076,
Belgium,BEL,2077,
Belgium,BEL,2078,
Belgium,BEL,2079,
Belgium,BEL,2080,
Belgium,BEL,2081,
Belgium,BEL,2082,
Belgium,BEL,2083,
Belgium,BEL,2084,
Belgium,BEL,2085,
Belgium,BEL,2086,
Belgium,BEL,2087,
Belgium,BEL,2088,
Belgium,BEL,2089,
Belgium,BEL,2090,
Belgium,BEL,2091,
Belgium,BEL,2092,
Belgium,BEL,2093,
Belgium,BEL,2094,
Belgium,BEL,2095,
Belgium,BEL,2096,
Belgium,BEL,2097,
Belgium,BEL,2098,
Belgium,BEL,2099,
Belgium,BEL,2100,
Bulgaria,BGR,1950,1.03
Bulgaria,BGR,1951,0.95
Bulgaria,BGR,1952,0.84
Bulgaria,BGR,1953,1.05
Bulgaria,BGR,1954,1.03
Bulgaria,BGR,1955,1.07
Bulgaria,BGR,1956,1
Bulgaria,BGR,1957,0.99
Bulgaria,BGR,1958,1.02
Bulgaria,BGR,1959,0.82
Bulgaria,BGR,1960,0.99
Bulgaria,BGR,1961,0.97
Bulgaria,BGR,1962,0.82
Bulgaria,BGR,1963,0.85
Bulgaria,BGR,1964,0.86
Bulgaria,BGR,1965,0.79
Bulgaria,BGR,1966,0.76
Bulgaria,BGR,1967,0.7
Bulgaria,BGR,1968,0.92
Bulgaria,BGR,1969,0.84
Bulgaria,BGR,1970,0.8
Bulgaria,BGR,1971,0.67
Bulgaria,BGR,1972,0.57
Bulgaria,BGR,1973,0.65
Bulgaria,BGR,1974,0.65
Bulgaria,BGR,1975,0.48
Bulgaria,BGR,1976,0.45
Bulgaria,BGR,1977,0.29
Bulgaria,BGR,1978,0.22
Bulgaria,BGR,1979,0.14
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,-0.05
Bulgaria,BGR,1982,-0.13
Bulgaria,BGR,1983,-0.18
Bulgaria,BGR,1984,-0.2
Bulgaria,BGR,1985,-0.31
Bulgaria,BGR,1986,-0.26
Bulgaria,BGR,1987,-0.34
Bulgaria,BGR,1988,-0.34
Bulgaria,BGR,1989,-0.37
Bulgaria,BGR,1990,-0.46
Bulgaria,BGR,1991,-0.59
Bulgaria,BGR,1992,-0.63
Bulgaria,BGR,1993,-0.69
Bulgaria,BGR,1994,-0.78
Bulgaria,BGR,1995,-0.89
Bulgaria,BGR,1996,-0.92
Bulgaria,BGR,1997,-1.05
Bulgaria,BGR,1998,-0.98
Bulgaria,BGR,1999,-0.79
Bulgaria,BGR,2000,-0.8
Bulgaria,BGR,2001,-0.76
Bulgaria,BGR,2002,-0.74
Bulgaria,BGR,2003,-0.7
Bulgaria,BGR,2004,-0.63
Bulgaria,BGR,2005,-0.65
Bulgaria,BGR,2006,-0.61
Bulgaria,BGR,2007,-0.6
Bulgaria,BGR,2008,-0.55
Bulgaria,BGR,2009,-0.5
Bulgaria,BGR,2010,-0.61
Bulgaria,BGR,2011,-0.69
Bulgaria,BGR,2012,-0.77
Bulgaria,BGR,2013,-0.76
Bulgaria,BGR,2014,-0.83
Bulgaria,BGR,2015,-0.88
Bulgaria,BGR,2016,-0.86
Bulgaria,BGR,2017,-0.9
Bulgaria,BGR,2018,-0.92
Bulgaria,BGR,2019,-0.92
Bulgaria,BGR,2020,-1.18
Bulgaria,BGR,2021,-1.52
Bulgaria,BGR,2022,
Bulgaria,BGR,2023,
Bulgaria,BGR,2024,
Bulgaria,BGR,2025,
Bulgaria,BGR,2026,
Bulgaria,BGR,2027,
Bulgaria,BGR,2028,
Bulgaria,BGR,2029,
Bulgaria,BGR,2030,
Bulgaria,BGR,2031,
Bulgaria,BGR,2032,
Bulgaria,BGR,2033,
Bulgaria,BGR,2034,
Bulgaria,BGR,2035,
Bulgaria,BGR,2036,
Bulgaria,BGR,2037,
Bulgaria,BGR,2038,
Bulgaria,BGR,2039,
Bulgaria,BGR,2040,
Bulgaria,BGR,2041,
Bulgaria,BGR,2042,
Bulgaria,BGR,2043,
Bulgaria,BGR,2044,
Bulgaria,BGR,2045,
Bulgaria,BGR,2046,
Bulgaria,BGR,2047,
Bulgaria,BGR,2048,
Bulgaria,BGR,2049,
Bulgaria,BGR,2050,
Bulgaria,BGR,2051,
Bulgaria,BGR,2052,
Bulgaria,BGR,2053,
Bulgaria,BGR,2054,
Bulgaria,BGR,2055,
Bulgaria,BGR,2056,
Bulgaria,BGR,2057,
Bulgaria,BGR,2058,
Bulgaria,BGR,2059,
Bulgaria,BGR,2060,
Bulgaria,BGR,2061,
Bulgaria,BGR,2062,
Bulgaria,BGR,2063,
Bulgaria,BGR,2064,
Bulgaria,BGR,2065,
Bulgaria,BGR,2066,
Bulgaria,BGR,2067,
Bulgaria,BGR,2068,
Bulgaria,BGR,2069,
Bulgaria,BGR,2070,
Bulgaria,BGR,2071,
Bulgaria,BGR,2072,
Bulgaria,BGR,2073,
Bulgaria,BGR,2074,
Bulgaria,BGR,2075,
Bulgaria,BGR,2076,
Bulgaria,BGR,2077,
Bulgaria,BGR,2078,
Bulgaria,BGR,2079,
Bulgaria,BGR,2080,
Bulgaria,BGR,2081,
Bulgaria,BGR,2082,
Bulgaria,BGR,2083,
Bulgaria,BGR,2084,
Bulgaria,BGR,2085,
Bulgaria,BGR,2086,
Bulgaria,BGR,2087,
Bulgaria,BGR,2088,
Bulgaria,BGR,2089,
Bulgaria,BGR,2090,
Bulgaria,BGR,2091,
Bulgaria,BGR,2092,
Bulgaria,BGR,2093,
Bulgaria,BGR,2094,
Bulgaria,BGR,2095,
Bulgaria,BGR,2096,
Bulgaria,BGR,2097,
Bulgaria,BGR,2098,
Bulgaria,BGR,2099,
Bulgaria,BGR,2100,
Croatia,HRV,1950,0.97
Croatia,HRV,1951,0.87
Croatia,HRV,1952,0.94
Croatia,HRV,1953,0.97
Croatia,HRV,1954,0.96
Croatia,HRV,1955,0.92
Croatia,HRV,1956,0.85
Croatia,HRV,1957,0.79
Croatia,HRV,1958,0.76
Croatia,HRV,1959,0.76
Croatia,HRV,1960,0.76
Croatia,HRV,1961,0.77
Croatia,HRV,1962,0.74
Croatia,HRV,1963,0.7
Croatia,HRV,1964,0.68
Croatia,HRV,1965,0.71
Croatia,HRV,1966,0.68
Croatia,HRV,1967,0.59
Croatia,HRV,1968,0.5
Croatia,HRV,1969,0.43
Croatia,HRV,1970,0.37
Croatia,HRV,1971,0.37
Croatia,HRV,1972,0.39
Croatia,HRV,1973,0.4
Croatia,HRV,1974,0.38
Croatia,HRV,1975,0.38
Croatia,HRV,1976,0.39
Croatia,HRV,1977,0.42
Croatia,HRV,1978,0.45
Croatia,HRV,1979,0.48
Croatia,HRV,1980,0.48
Croatia,HRV,1981,0.53
Croatia,HRV,1982,0.52
Croatia,HRV,1983,0.46
Croatia,HRV,1984,0.57
Croatia,HRV,1985,0.56
Croatia,HRV,1986,0.5
Croatia,HRV,1987,0.38
Croatia,HRV,1988,0.27
Croatia,HRV,1989,0.08
Croatia,HRV,1990,-0.09
Croatia,HRV,1991,-1.11
Croatia,HRV,1992,-0.8
Croatia,HRV,1993,0.56
Croatia,HRV,1994,0.57
Croatia,HRV,1995,-1.08
Croatia,HRV,1996,-0.95
Croatia,HRV,1997,-1.05
Croatia,HRV,1998,-1.15
Croatia,HRV,1999,-1.21
Croatia,HRV,2000,-1.28
Croatia,HRV,2001,-0.56
Croatia,HRV,2002,-0.5
Croatia,HRV,2003,-0.47
Croatia,HRV,2004,-0.33
Croatia,HRV,2005,-0.29
Croatia,HRV,2006,-0.26
Croatia,HRV,2007,-0.29
Croatia,HRV,2008,-0.25
Croatia,HRV,2009,-0.27
Croatia,HRV,2010,-0.34
Croatia,HRV,2011,-0.43
Croatia,HRV,2012,-0.5
Croatia,HRV,2013,-0.55
Croatia,HRV,2014,-0.61
Croatia,HRV,2015,-0.76
Croatia,HRV,2016,-0.71
Croatia,HRV,2017,-0.78
Croatia,HRV,2018,-0.75
Croatia,HRV,2019,-0.73
Croatia,HRV,2020,-0.87
Croatia,HRV,2021,-0.93
Croatia,HRV,2022,
Croatia,HRV,2023,
Croatia,HRV,2024,
Croatia,HRV,2025,
Croatia,HRV,2026,
Croatia,HRV,2027,
Croatia,HRV,2028,
Croatia,HRV,2029,
Croatia,HRV,2030,
Croatia,HRV,2031,
Croatia,HRV,2032,
Croatia,HRV,2033,
Croatia,HRV,2034,
Croatia,HRV,2035,
Croatia,HRV,2036,
Croatia,HRV,2037,
Croatia,HRV,2038,
Croatia,HRV,2039,
Croatia,HRV,2040,
Croatia,HRV,2041,
Croatia,HRV,2042,
Croatia,HRV,2043,
Croatia,HRV,2044,
Croatia,HRV,2045,
Croatia,HRV,2046,
Croatia,HRV,2047,
Croatia,HRV,2048,
Croatia,HRV,2049,
Croatia,HRV,2050,
Croatia,HRV,2051,
Croatia,HRV,2052,
Croatia,HRV,2053,
Croatia,HRV,2054,
Croatia,HRV,2055,
Croatia,HRV,2056,
Croatia,HRV,2057,
Croatia,HRV,2058,
Croatia,HRV,2059,
Croatia,HRV,2060,
Croatia,HRV,2061,
Croatia,HRV,2062,
Croatia,HRV,2063,
Croatia,HRV,2064,
Croatia,HRV,2065,
Croatia,HRV,2066,
Croatia,HRV,2067,
Croatia,HRV,2068,
Croatia,HRV,2069,
Croatia,HRV,2070,
Croatia,HRV,2071,
Croatia,HRV,2072,
Croatia,HRV,2073,
Croatia,HRV,2074,
Croatia,HRV,2075,
Croatia,HRV,2076,
Croatia,HRV,2077,
Croatia,HRV,2078,
Croatia,HRV,2079,
Croatia,HRV,2080,
Croatia,HRV,2081,
Croatia,HRV,2082,
Croatia,HRV,2083,
Croatia,HRV,2084,
Croatia,HRV,2085,
Croatia,HRV,2086,
Croatia,HRV,2087,
Croatia,HRV,2088,
Croatia,HRV,2089,
Croatia,HRV,2090,
Croatia,HRV,2091,
Croatia,HRV,2092,
Croatia,HRV,2093,
Croatia,HRV,2094,
Croatia,HRV,2095,
Croatia,HRV,2096,
Croatia,HRV,2097,
Croatia,HRV,2098,
Croatia,HRV,2099,
Croatia,HRV,2100,
Cyprus,CYP,1950,1.44
Cyprus,CYP,1951,1.5
Cyprus,CYP,1952,1.55
Cyprus,CYP,1953,1.59
Cyprus,CYP,1954,1.63
Cyprus,CYP,1955,1.67
Cyprus,CYP,1956,1.72
Cyprus,CYP,1957,1.8
Cyprus,CYP,1958,1.89
Cyprus,CYP,1959,1.98
Cyprus,CYP,1960,2.01
Cyprus,CYP,1961,1.07
Cyprus,CYP,1962,1.05
Cyprus,CYP,1963,0.93
Cyprus,CYP,1964,0.8
Cyprus,CYP,1965,0.83
Cyprus,CYP,1966,0.85
Cyprus,CYP,1967,0.79
Cyprus,CYP,1968,0.72
Cyprus,CYP,1969,0.66
Cyprus,CYP,1970,0.59
Cyprus,CYP,1971,0.53
Cyprus,CYP,1972,0.46
Cyprus,CYP,1973,0.49
Cyprus,CYP,1974,-1.14
Cyprus,CYP,1975,0.03
Cyprus,CYP,1976,1.16
Cyprus,CYP,1977,1.15
Cyprus,CYP,1978,1.14
Cyprus,CYP,1979,1.14
Cyprus,CYP,1980,1.14
Cyprus,CYP,1981,1.15
Cyprus,CYP,1982,1.46
Cyprus,CYP,1983,1.74
Cyprus,CYP,1984,1.68
Cyprus,CYP,1985,1.62
Cyprus,CYP,1986,1.57
Cyprus,CYP,1987,1.52
Cyprus,CYP,1988,1.48
Cyprus,CYP,1989,1.42
Cyprus,CYP,1990,1.36
Cyprus,CYP,1991,1.3
Cyprus,CYP,1992,1.53
Cyprus,CYP,1993,2.27
Cyprus,CYP,1994,2.15
Cyprus,CYP,1995,2.06
Cyprus,CYP,1996,1.99
Cyprus,CYP,1997,1.93
Cyprus,CYP,1998,1.87
Cyprus,CYP,1999,1.8
Cyprus,CYP,2000,1.74
Cyprus,CYP,2001,1.73
Cyprus,CYP,2002,1.83
Cyprus,CYP,2003,1.83
Cyprus,CYP,2004,1.8
Cyprus,CYP,2005,1.77
Cyprus,CYP,2006,1.74
Cyprus,CYP,2007,1.72
Cyprus,CYP,2008,1.7
Cyprus,CYP,2009,1.68
Cyprus,CYP,2010,1.66
Cyprus,CYP,2011,1.05
Cyprus,CYP,2012,0.94
Cyprus,CYP,2013,0.85
Cyprus,CYP,2014,0.86
Cyprus,CYP,2015,0.88
Cyprus,CYP,2016,0.9
Cyprus,CYP,2017,0.87
Cyprus,CYP,2018,0.83
Cyprus,CYP,2019,0.8
Cyprus,CYP,2020,0.61
Cyprus,CYP,2021,0.46
Cyprus,CYP,2022,
Cyprus,CYP,2023,
Cyprus,CYP,2024,
Cyprus,CYP,2025,
Cyprus,CYP,2026,
Cyprus,CYP,2027,
Cyprus,CYP,2028,
Cyprus,CYP,2029,
Cyprus,CYP,2030,
Cyprus,CYP,2031,
Cyprus,CYP,2032,
Cyprus,CYP,2033,
Cyprus,CYP,2034,
Cyprus,CYP,2035,
Cyprus,CYP,2036,
Cyprus,CYP,2037,
Cyprus,CYP,2038,
Cyprus,CYP,2039,
Cyprus,CYP,2040,
Cyprus,CYP,2041,
Cyprus,CYP,2042,
Cyprus,CYP,2043,
Cyprus,CYP,2044,
Cyprus,CYP,2045,
Cyprus,CYP,2046,
Cyprus,CYP,2047,
Cyprus,CYP,2048,
Cyprus,CYP,2049,
Cyprus,CYP,2050,
Cyprus,CYP,2051,
Cyprus,CYP,2052,
Cyprus,CYP,2053,
Cyprus,CYP,2054,
Cyprus,CYP,2055,
Cyprus,CYP,2056,
Cyprus,CYP,2057,
Cyprus,CYP,2058,
Cyprus,CYP,2059,
Cyprus,CYP,2060,
Cyprus,CYP,2061,
Cyprus,CYP,2062,
Cyprus,CYP,2063,
Cyprus,CYP,2064,
Cyprus,CYP,2065,
Cyprus,CYP,2066,
Cyprus,CYP,2067,
Cyprus,CYP,2068,
Cyprus,CYP,2069,
Cyprus,CYP,2070,
Cyprus,CYP,2071,
Cyprus,CYP,2072,
Cyprus,CYP,2073,
Cyprus,CYP,2074,
Cyprus,CYP,2075,
Cyprus,CYP,2076,
Cyprus,CYP,2077,
Cyprus,CYP,2078,
Cyprus,CYP,2079,
Cyprus,CYP,2080,
Cyprus,CYP,2081,
Cyprus,CYP,2082,
Cyprus,CYP,2083,
Cyprus,CYP,2084,
Cyprus,CYP,2085,
Cyprus,CYP,2086,
Cyprus,CYP,2087,
Cyprus,CYP,2088,
Cyprus,CYP,2089,
Cyprus,CYP,2090,
Cyprus,CYP,2091,
Cyprus,CYP,2092,
Cyprus,CYP,2093,
Cyprus,CYP,2094,
Cyprus,CYP,2095,
Cyprus,CYP,2096,
Cyprus,CYP,2097,
Cyprus,CYP,2098,
Cyprus,CYP,2099,
Cyprus,CYP,2100,
Czechia,CZE,1950,0.91
Czechia,CZE,1951,0.89
Czechia,CZE,1952,0.87
Czechia,CZE,1953,0.78
Czechia,CZE,1954,0.72
Czechia,CZE,1955,0.76
Czechia,CZE,1956,0.71
Czechia,CZE,1957,0.58
Czechia,CZE,1958,0.49
Czechia,CZE,1959,0.32
Czechia,CZE,1960,0.37
Czechia,CZE,1961,0.28
Czechia,CZE,1962,0.21
Czechia,CZE,1963,0.41
Czechia,CZE,1964,0.44
Czechia,CZE,1965,0.34
Czechia,CZE,1966,0.26
Czechia,CZE,1967,0.2
Czechia,CZE,1968,0.13
Czechia,CZE,1969,0.13
Czechia,CZE,1970,0.14
Czechia,CZE,1971,0.28
Czechia,CZE,1972,0.42
Czechia,CZE,1973,0.57
Czechia,CZE,1974,0.65
Czechia,CZE,1975,0.65
Czechia,CZE,1976,0.59
Czechia,CZE,1977,0.52
Czechia,CZE,1978,0.48
Czechia,CZE,1979,0.4
Czechia,CZE,1980,0.16
Czechia,CZE,1981,0.11
Czechia,CZE,1982,0.08
Czechia,CZE,1983,0
Czechia,CZE,1984,0.03
Czechia,CZE,1985,0.02
Czechia,CZE,1986,-0.02
Czechia,CZE,1987,0
Czechia,CZE,1988,0.04
Czechia,CZE,1989,-0.03
Czechia,CZE,1990,-0.04
Czechia,CZE,1991,0.08
Czechia,CZE,1992,0.07
Czechia,CZE,1993,0.08
Czechia,CZE,1994,-0.04
Czechia,CZE,1995,-0.15
Czechia,CZE,1996,-0.16
Czechia,CZE,1997,-0.16
Czechia,CZE,1998,-0.14
Czechia,CZE,1999,-0.15
Czechia,CZE,2000,-0.13
Czechia,CZE,2001,0.05
Czechia,CZE,2002,0.11
Czechia,CZE,2003,0.08
Czechia,CZE,2004,0.17
Czechia,CZE,2005,0.2
Czechia,CZE,2006,0.28
Czechia,CZE,2007,0.36
Czechia,CZE,2008,0.42
Czechia,CZE,2009,0.4
Czechia,CZE,2010,0.43
Czechia,CZE,2011,0.18
Czechia,CZE,2012,0.1
Czechia,CZE,2013,-0.04
Czechia,CZE,2014,0.08
Czechia,CZE,2015,0.04
Czechia,CZE,2016,0.03
Czechia,CZE,2017,0.04
Czechia,CZE,2018,0.02
Czechia,CZE,2019,0.02
Czechia,CZE,2020,-0.13
Czechia,CZE,2021,-0.25
Czechia,CZE,2022,
Czechia,CZE,2023,
Czechia,CZE,2024,
Czechia,CZE,2025,
Czechia,CZE,2026,
Czechia,CZE,2027,
Czechia,CZE,2028,
Czechia,CZE,2029,
Czechia,CZE,2030,
Czechia,CZE,2031,
Czechia,CZE,2032,
Czechia,CZE,2033,
Czechia,CZE,2034,
Czechia,CZE,2035,
Czechia,CZE,2036,
Czechia,CZE,2037,
Czechia,CZE,2038,
Czechia,CZE,2039,
Czechia,CZE,2040,
Czechia,CZE,2041,
Czechia,CZE,2042,
Czechia,CZE,2043,
Czechia,CZE,2044,
Czechia,CZE,2045,
Czechia,CZE,2046,
Czechia,CZE,2047,
Czechia,CZE,2048,
Czechia,CZE,2049,
Czechia,CZE,2050,
Czechia,CZE,2051,
Czechia,CZE,2052,
Czechia,CZE,2053,
Czechia,CZE,2054,
Czechia,CZE,2055,
Czechia,CZE,2056,
Czechia,CZE,2057,
Czechia,CZE,2058,
Czechia,CZE,2059,
Czechia,CZE,2060,
Czechia,CZE,2061,
Czechia,CZE,2062,
Czechia,CZE,2063,
Czechia,CZE,2064,
Czechia,CZE,2065,
Czechia,CZE,2066,
Czechia,CZE,2067,
Czechia,CZE,2068,
Czechia,CZE,2069,
Czechia,CZE,2070,
Czechia,CZE,2071,
Czechia,CZE,2072,
Czechia,CZE,2073,
Czechia,CZE,2074,
Czechia,CZE,2075,
Czechia,CZE,2076,
Czechia,CZE,2077,
Czechia,CZE,2078,
Czechia,CZE,2079,
Czechia,CZE,2080,
Czechia,CZE,2081,
Czechia,CZE,2082,
Czechia,CZE,2083,
Czechia,CZE,2084,
Czechia,CZE,2085,
Czechia,CZE,2086,
Czechia,CZE,2087,
Czechia,CZE,2088,
Czechia,CZE,2089,
Czechia,CZE,2090,
Czechia,CZE,2091,
Czechia,CZE,2092,
Czechia,CZE,2093,
Czechia,CZE,2094,
Czechia,CZE,2095,
Czechia,CZE,2096,
Czechia,CZE,2097,
Czechia,CZE,2098,
Czechia,CZE,2099,
Czechia,CZE,2100,
Denmark,DNK,1950,0.76
Denmark,DNK,1951,0.73
Denmark,DNK,1952,0.71
Denmark,DNK,1953,0.75
Denmark,DNK,1954,0.71
Denmark,DNK,1955,0.75
Denmark,DNK,1956,0.74
Denmark,DNK,1957,0.67
Denmark,DNK,1958,0.67
Denmark,DNK,1959,0.65
Denmark,DNK,1960,0.67
Denmark,DNK,1961,0.71
Denmark,DNK,1962,0.7
Denmark,DNK,1963,0.79
Denmark,DNK,1964,0.79
Denmark,DNK,1965,0.83
Denmark,DNK,1966,0.85
Denmark,DNK,1967,0.74
Denmark,DNK,1968,0.62
Denmark,DNK,1969,0.55
Denmark,DNK,1970,0.55
Denmark,DNK,1971,0.61
Denmark,DNK,1972,0.58
Denmark,DNK,1973,0.52
Denmark,DNK,1974,0.48
Denmark,DNK,1975,0.5
Denmark,DNK,1976,0.31
Denmark,DNK,1977,0.31
Denmark,DNK,1978,0.25
Denmark,DNK,1979,0.16
