Entity,Code,Year,4_1_Happy
Czechia,CZE,2019,6.964700222
Czechia,CZE,2020,6.919799805
Denmark,DNK,2003,8.01893425
Denmark,DNK,2005,7.834233284
Denmark,DNK,2006,7.970891953
Denmark,DNK,2007,7.683358669
Denmark,DNK,2008,7.770515442
Denmark,DNK,2009,7.78823185
Denmark,DNK,2010,7.519909382
Denmark,DNK,2011,7.588606834
Denmark,DNK,2012,7.507559299
Denmark,DNK,2013,7.514424801
Denmark,DNK,2014,7.55778265
Denmark,DNK,2015,7.593702316
Denmark,DNK,2016,7.648785591
Denmark,DNK,2017,7.693003178
Denmark,DNK,2018,7.514631271
Denmark,DNK,2019,7.61950016
Denmark,DNK,2020,7.636199951
Estonia,EST,2004,5.371054649
Estonia,EST,2005,5.332044125
Estonia,EST,2006,5.451937675
Estonia,EST,2007,5.137738705
Estonia,EST,2009,5.486819744
Estonia,EST,2010,5.363927841
Estonia,EST,2011,5.367445946
Estonia,EST,2012,5.55598259
Estonia,EST,2013,5.628908634
Estonia,EST,2014,5.649675369
Estonia,EST,2015,5.938395977
Estonia,EST,2016,6.091302395
Estonia,EST,2017,6.034641266
Estonia,EST,2018,6.452563763
Estonia,EST,2019,6.188799858
Estonia,EST,2020,6.340799809
Finland,FIN,2004,7.672449112
Finland,FIN,2006,7.67062664
Finland,FIN,2008,7.393264294
Finland,FIN,2009,7.354225159
Finland,FIN,2010,7.420209408
Finland,FIN,2011,7.444635868
Finland,FIN,2012,7.384571075
Finland,FIN,2013,7.447925568
Finland,FIN,2014,7.659843445
Finland,FIN,2015,7.788251877
Finland,FIN,2016,7.85810709
Finland,FIN,2017,7.780347824
Finland,FIN,2018,7.889349937
Finland,FIN,2019,7.842100143
Finland,FIN,2020,7.821000099
France,FRA,2003,7.093392849
France,FRA,2004,6.582700253
France,FRA,2006,7.008064747
France,FRA,2007,6.283498287
France,FRA,2008,6.797901154
France,FRA,2009,6.959185123
France,FRA,2010,6.649365425
France,FRA,2011,6.66712141
France,FRA,2012,6.466867924
France,FRA,2013,6.357625008
France,FRA,2014,6.475208759
France,FRA,2015,6.635222435
France,FRA,2016,6.665903568
France,FRA,2017,6.689644337
France,FRA,2018,6.714111805
France,FRA,2019,6.689899921
France,FRA,2020,6.686699867
Germany,DEU,2003,6.619549751
Germany,DEU,2005,6.416819572
Germany,DEU,2006,6.521790028
Germany,DEU,2007,6.64149332
Germany,DEU,2008,6.724531174
Germany,DEU,2009,6.621312141
Germany,DEU,2010,6.702362061
Germany,DEU,2011,6.965125084
Germany,DEU,2012,6.984214306
Germany,DEU,2013,7.037137508
Germany,DEU,2014,6.873763084
Germany,DEU,2015,7.074324608
Germany,DEU,2016,7.118364334
Germany,DEU,2017,7.035472393
Germany,DEU,2018,7.311897755
Germany,DEU,2019,7.154500008
Germany,DEU,2020,7.034100056
Greece,GRC,2003,6.006309986
Greece,GRC,2005,6.646961212
Greece,GRC,2007,6.038574696
Greece,GRC,2008,5.839558601
Greece,GRC,2009,5.372039795
Greece,GRC,2010,5.096354008
Greece,GRC,2011,4.720251083
Greece,GRC,2012,4.75623703
Greece,GRC,2013,5.622519016
Greece,GRC,2014,5.302619457
Greece,GRC,2015,5.14824152
Greece,GRC,2016,5.40928936
Greece,GRC,2017,5.952157497
Greece,GRC,2018,5.787615776
Greece,GRC,2019,5.722599983
Greece,GRC,2020,5.948200226
Hungary,HUN,2003,5.193933487
Hungary,HUN,2005,4.953917027
Hungary,HUN,2007,4.894600391
Hungary,HUN,2008,4.725132465
Hungary,HUN,2009,4.917602539
Hungary,HUN,2010,4.683358192
Hungary,HUN,2011,4.914466858
Hungary,HUN,2012,5.18056345
Hungary,HUN,2013,5.34438324
Hungary,HUN,2014,5.448901653
Hungary,HUN,2015,6.065038681
Hungary,HUN,2016,5.935770988
Hungary,HUN,2017,6.000259876
Hungary,HUN,2018,6.038049698
Hungary,HUN,2019,5.991600037
Hungary,HUN,2020,6.08589983
Ireland,IRL,2004,7.144246578
Ireland,IRL,2006,7.568029881
Ireland,IRL,2007,7.045911312
Ireland,IRL,2008,7.257389545
Ireland,IRL,2009,7.006904125
Ireland,IRL,2010,6.964645386
Ireland,IRL,2011,6.760085106
Ireland,IRL,2012,7.018379211
Ireland,IRL,2013,6.830125332
Ireland,IRL,2014,7.04073143
Ireland,IRL,2015,7.060155392
Ireland,IRL,2016,6.962335587
Ireland,IRL,2017,7.254841328
Ireland,IRL,2018,7.034930706
Ireland,IRL,2019,7.085299969
Ireland,IRL,2020,7.040800095
Italy,ITA,2003,6.853783607
Italy,ITA,2005,6.574412346
Italy,ITA,2006,6.779774189
Italy,ITA,2007,6.333800316
Italy,ITA,2008,6.354238033
Italy,ITA,2009,6.057086468
Italy,ITA,2010,5.839313984
Italy,ITA,2011,6.009373665
Italy,ITA,2012,6.026585102
Italy,ITA,2013,5.847683907
Italy,ITA,2014,5.95452404
Italy,ITA,2015,6.198870182
Italy,ITA,2016,6.516526699
Italy,ITA,2017,6.445416927
Italy,ITA,2018,6.488356113
Italy,ITA,2019,6.483099937
Italy,ITA,2020,6.466700077
Latvia,LVA,2004,4.70950222
Latvia,LVA,2005,4.666971684
Latvia,LVA,2006,5.145375252
Latvia,LVA,2007,4.668910503
Latvia,LVA,2009,4.966811657
Latvia,LVA,2010,5.125025272
Latvia,LVA,2011,5.069770336
Latvia,LVA,2012,5.729115486
Latvia,LVA,2013,5.880597591
Latvia,LVA,2014,5.940446377
Latvia,LVA,2015,5.977817535
Latvia,LVA,2016,5.901154041
Latvia,LVA,2017,5.969753742
Latvia,LVA,2018,6.229008675
Latvia,LVA,2019,6.032000065
Latvia,LVA,2020,6.180399895
Lithuania,LTU,2004,5.954442978
Lithuania,LTU,2005,5.80828476
Lithuania,LTU,2006,5.553925991
Lithuania,LTU,2007,5.466920853
Lithuania,LTU,2008,5.065824986
Lithuania,LTU,2009,5.43243742
Lithuania,LTU,2010,5.771037102
Lithuania,LTU,2011,5.595689297
Lithuania,LTU,2012,6.125723839
Lithuania,LTU,2013,5.711378098
Lithuania,LTU,2014,5.865552425
Lithuania,LTU,2015,6.272940636
Lithuania,LTU,2016,6.308878899
Lithuania,LTU,2017,6.064097881
Lithuania,LTU,2018,6.39137888
Lithuania,LTU,2019,6.255400181
Lithuania,LTU,2020,6.445600033
Luxembourg,LUX,2007,6.957920074
Luxembourg,LUX,2008,7.097251892
Luxembourg,LUX,2009,7.101400375
Luxembourg,LUX,2010,6.964097023
Luxembourg,LUX,2011,7.130809307
Luxembourg,LUX,2012,6.89112711
Luxembourg,LUX,2013,6.701571465
Luxembourg,LUX,2014,6.967340946
Luxembourg,LUX,2015,7.061380863
Luxembourg,LUX,2016,7.242630959
Luxembourg,LUX,2017,7.404015541
Luxembourg,LUX,2019,7.324399948
Luxembourg,LUX,2020,7.403999805
Malta,MLT,2007,6.32763958
Malta,MLT,2008,5.77387476
Malta,MLT,2009,6.154718399
Malta,MLT,2010,5.962872028
Malta,MLT,2011,6.379924774
Malta,MLT,2012,6.45211792
Malta,MLT,2013,6.61339426
Malta,MLT,2014,6.590842247
Malta,MLT,2015,6.675665855
Malta,MLT,2016,6.909710884
Malta,MLT,2017,6.73297739
Malta,MLT,2018,6.156822681
Malta,MLT,2019,6.602000237
Malta,MLT,2020,6.446899891
Netherlands,NLD,2003,7.463979244
Netherlands,NLD,2005,7.451879501
Netherlands,NLD,2006,7.631011963
Netherlands,NLD,2008,7.501875877
Netherlands,NLD,2009,7.563797951
Netherlands,NLD,2010,7.470715523
Netherlands,NLD,2011,7.406550407
Netherlands,NLD,2012,7.32118845
Netherlands,NLD,2013,7.324437141
Netherlands,NLD,2014,7.540877342
Netherlands,NLD,2015,7.458965302
Netherlands,NLD,2016,7.463097095
Netherlands,NLD,2017,7.42526865
Netherlands,NLD,2018,7.504447937
Netherlands,NLD,2019,7.464000225
Netherlands,NLD,2020,7.414899826
Poland,POL,2003,5.587209225
Poland,POL,2005,5.886137486
Poland,POL,2007,5.772027493
Poland,POL,2008,5.887029648
Poland,POL,2009,5.646204948
Poland,POL,2010,5.87593174
Poland,POL,2011,5.746131897
Poland,POL,2012,5.750282288
Poland,POL,2013,6.007021904
Poland,POL,2014,6.162076473
Poland,POL,2015,6.201268196
Poland,POL,2016,6.111485004
Poland,POL,2017,6.24209404
Poland,POL,2018,6.139455318
Poland,POL,2019,6.166100025
Poland,POL,2020,6.122799873
Portugal,PRT,2004,5.405246258
Portugal,PRT,2006,5.716966629
Portugal,PRT,2008,5.094525814
Portugal,PRT,2009,5.219997883
Portugal,PRT,2010,4.993962288
Portugal,PRT,2011,5.157688141
Portugal,PRT,2012,5.12691164
Portugal,PRT,2013,5.080866337
Portugal,PRT,2014,5.446637154
Portugal,PRT,2015,5.711499214
Portugal,PRT,2016,5.919822693
Portugal,PRT,2017,6.095473289
Portugal,PRT,2018,5.767792225
Portugal,PRT,2019,5.928999901
Portugal,PRT,2020,6.016300201
Romania,ROU,2003,5.048648357
Romania,ROU,2005,5.393723965
Romania,ROU,2007,5.367565155
Romania,ROU,2008,4.909165859
Romania,ROU,2009,5.02275753
Romania,ROU,2010,5.166874886
Romania,ROU,2011,5.081584454
Romania,ROU,2012,5.726893425
Romania,ROU,2013,5.777491093
Romania,ROU,2014,5.96887064
Romania,ROU,2015,6.089904785
Romania,ROU,2016,6.150878906
Romania,ROU,2017,6.129942417
Romania,ROU,2019,6.139999866
Romania,ROU,2020,6.477000237
Slovakia,SVK,2004,5.264676571
Slovakia,SVK,2008,6.052223206
Slovakia,SVK,2009,5.945048332
Slovakia,SVK,2010,5.91105938
Slovakia,SVK,2011,5.936527252
Slovakia,SVK,2012,6.1388731
Slovakia,SVK,2013,6.162004471
Slovakia,SVK,2014,5.993163109
Slovakia,SVK,2015,6.365509033
Slovakia,SVK,2016,6.23511076
Slovakia,SVK,2017,6.243428707
Slovakia,SVK,2018,6.519098282
Slovakia,SVK,2019,6.330900192
Slovakia,SVK,2020,6.390699863
Slovenia,SVN,2004,5.811264515
Slovenia,SVN,2007,5.830160618
Slovenia,SVN,2008,6.082555294
Slovenia,SVN,2009,6.035964012
Slovenia,SVN,2010,6.062891006
Slovenia,SVN,2011,5.974888802
Slovenia,SVN,2012,5.678395271
Slovenia,SVN,2013,5.740642071
Slovenia,SVN,2014,5.936821461
Slovenia,SVN,2015,6.166837692
Slovenia,SVN,2016,6.249419212
Slovenia,SVN,2017,6.665273666
Slovenia,SVN,2018,6.462076187
Slovenia,SVN,2019,6.460700035
Slovenia,SVN,2020,6.630099773
Spain,ESP,2003,7.152785778
Spain,ESP,2005,6.994614601
Spain,ESP,2006,7.294472694
Spain,ESP,2007,6.198601246
Spain,ESP,2008,6.188262463
Spain,ESP,2009,6.518249035
Spain,ESP,2010,6.290690422
Spain,ESP,2011,6.150027275
Spain,ESP,2012,6.456477642
Spain,ESP,2013,6.380663395
Spain,ESP,2014,6.318612099
Spain,ESP,2015,6.230173111
Spain,ESP,2016,6.513370991
Spain,ESP,2017,6.457449436
Spain,ESP,2018,6.502175331
Spain,ESP,2019,6.490699768
Spain,ESP,2020,6.476299763
Sweden,SWE,2003,7.376315594
Sweden,SWE,2005,7.241362572
Sweden,SWE,2006,7.51599741
Sweden,SWE,2007,7.265977383
Sweden,SWE,2008,7.496018887
Sweden,SWE,2009,7.382232189
Sweden,SWE,2010,7.560147762
Sweden,SWE,2011,7.434010506
Sweden,SWE,2012,7.239147663
Sweden,SWE,2013,7.28892231
Sweden,SWE,2014,7.368744373
Sweden,SWE,2015,7.286804676
Sweden,SWE,2016,7.374792099
Sweden,SWE,2017,7.398092747
Sweden,SWE,2018,7.314341068
Sweden,SWE,2019,7.362699986
Sweden,SWE,2020,7.384300232
United Kingdom,GBR,2003,6.983556747
United Kingdom,GBR,2005,6.801930904
United Kingdom,GBR,2006,6.986463547
United Kingdom,GBR,2007,6.90654707
United Kingdom,GBR,2008,7.029364109
United Kingdom,GBR,2009,6.869248867
United Kingdom,GBR,2010,6.880784035
United Kingdom,GBR,2011,6.918055058
United Kingdom,GBR,2012,6.758147717
United Kingdom,GBR,2013,6.515445232
United Kingdom,GBR,2014,6.8242836
United Kingdom,GBR,2015,7.103273392
United Kingdom,GBR,2016,7.233445168
United Kingdom,GBR,2017,7.157151222
United Kingdom,GBR,2018,6.798177242
United Kingdom,GBR,2019,7.063600063
United Kingdom,GBR,2020,6.942500114
