Entity,Code,Year,4_1_civlibs_score_fh
Syria,SYR,2014,2
Syria,SYR,2015,2
Syria,SYR,2016,2
Syria,SYR,2017,2
Syria,SYR,2018,3
Syria,SYR,2019,3
Syria,SYR,2020,4
Syria,SYR,2021,4
Turkey,TUR,2005,37
Turkey,TUR,2006,37
Turkey,TUR,2007,37
Turkey,TUR,2008,36
Turkey,TUR,2009,36
Turkey,TUR,2010,36
Turkey,TUR,2011,35
Turkey,TUR,2012,33
Turkey,TUR,2013,32
Turkey,TUR,2014,29
Turkey,TUR,2015,29
Turkey,TUR,2016,20
Turkey,TUR,2017,16
Turkey,TUR,2018,16
Turkey,TUR,2019,16
Turkey,TUR,2020,16
Turkey,TUR,2021,16
Turkmenistan,TKM,2005,1
Turkmenistan,TKM,2006,1
Turkmenistan,TKM,2007,5
Turkmenistan,TKM,2008,5
Turkmenistan,TKM,2009,7
Turkmenistan,TKM,2010,7
Turkmenistan,TKM,2011,6
Turkmenistan,TKM,2012,6
Turkmenistan,TKM,2013,6
Turkmenistan,TKM,2014,5
Turkmenistan,TKM,2015,4
Turkmenistan,TKM,2016,4
Turkmenistan,TKM,2017,4
Turkmenistan,TKM,2018,2
Turkmenistan,TKM,2019,2
Turkmenistan,TKM,2020,2
Turkmenistan,TKM,2021,2
United Arab Emirates,ARE,2005,15
United Arab Emirates,ARE,2006,17
United Arab Emirates,ARE,2007,17
United Arab Emirates,ARE,2008,19
United Arab Emirates,ARE,2009,19
United Arab Emirates,ARE,2010,19
United Arab Emirates,ARE,2011,16
United Arab Emirates,ARE,2012,14
United Arab Emirates,ARE,2013,13
United Arab Emirates,ARE,2014,13
United Arab Emirates,ARE,2015,13
United Arab Emirates,ARE,2016,13
United Arab Emirates,ARE,2017,12
United Arab Emirates,ARE,2018,12
United Arab Emirates,ARE,2019,12
United Arab Emirates,ARE,2020,12
United Arab Emirates,ARE,2021,12
Uzbekistan,UZB,2005,3
Uzbekistan,UZB,2006,3
Uzbekistan,UZB,2007,3
Uzbekistan,UZB,2008,3
Uzbekistan,UZB,2009,4
Uzbekistan,UZB,2010,4
Uzbekistan,UZB,2011,4
Uzbekistan,UZB,2012,4
Uzbekistan,UZB,2013,4
Uzbekistan,UZB,2014,4
Uzbekistan,UZB,2015,3
Uzbekistan,UZB,2016,3
Uzbekistan,UZB,2017,6
Uzbekistan,UZB,2018,8
Uzbekistan,UZB,2019,8
Uzbekistan,UZB,2020,9
Uzbekistan,UZB,2021,9
Yemen,YEM,2005,18
Yemen,YEM,2006,19
Yemen,YEM,2007,20
Yemen,YEM,2008,20
Yemen,YEM,2009,18
Yemen,YEM,2010,18
Yemen,YEM,2011,15
Yemen,YEM,2012,16
Yemen,YEM,2013,16
Yemen,YEM,2014,16
Yemen,YEM,2015,13
Yemen,YEM,2016,12
Yemen,YEM,2017,12
Yemen,YEM,2018,10
Yemen,YEM,2019,10
Yemen,YEM,2020,10
Yemen,YEM,2021,8
