Entity,Code,Year,4_1_Happy
Georgia,GEO,2018,5.123143196
Georgia,GEO,2019,4.89139986
Georgia,GEO,2020,4.973199844
Iran,IRN,2003,5.308190346
Iran,IRN,2005,5.336371422
Iran,IRN,2006,5.128988266
Iran,IRN,2009,4.767507076
Iran,IRN,2010,4.608927727
Iran,IRN,2011,5.139579296
Iran,IRN,2012,4.682224274
Iran,IRN,2013,4.749955654
Iran,IRN,2014,4.652730942
Iran,IRN,2015,4.716783047
Iran,IRN,2016,4.278117657
Iran,IRN,2017,5.006145954
Iran,IRN,2018,4.864528179
Iran,IRN,2019,4.721199989
Iran,IRN,2020,4.887899876
Israel,ISR,2004,7.173417091
Israel,ISR,2005,6.841114998
Israel,ISR,2006,7.261261463
Israel,ISR,2007,7.352979183
Israel,ISR,2008,7.358916283
Israel,ISR,2009,7.433147907
Israel,ISR,2010,7.110854626
Israel,ISR,2011,7.320563316
Israel,ISR,2012,7.400570393
Israel,ISR,2013,7.07941103
Israel,ISR,2014,7.159010887
Israel,ISR,2015,7.331036091
Israel,ISR,2016,6.92717886
Israel,ISR,2017,7.331779957
Israel,ISR,2018,7.194928169
Israel,ISR,2019,7.157100201
Israel,ISR,2020,7.363800049
Jordan,JOR,2003,6.294660091
Jordan,JOR,2005,5.59805727
Jordan,JOR,2006,4.930058002
Jordan,JOR,2007,5.999859333
Jordan,JOR,2008,5.569942474
Jordan,JOR,2009,5.539327621
Jordan,JOR,2010,5.131996155
Jordan,JOR,2011,5.171952724
Jordan,JOR,2012,5.333021641
Jordan,JOR,2013,5.404593468
Jordan,JOR,2014,5.27128458
Jordan,JOR,2015,4.808082581
Jordan,JOR,2016,4.638933659
Jordan,JOR,2017,4.452548027
Jordan,JOR,2018,4.093991756
Jordan,JOR,2019,4.394599915
Jordan,JOR,2020,4.152100086
Kazakhstan,KAZ,2004,5.475948334
Kazakhstan,KAZ,2005,5.718553543
Kazakhstan,KAZ,2006,5.886419773
Kazakhstan,KAZ,2007,5.382563114
Kazakhstan,KAZ,2008,5.514286518
Kazakhstan,KAZ,2009,5.735662937
Kazakhstan,KAZ,2010,5.759469509
Kazakhstan,KAZ,2011,5.835483074
Kazakhstan,KAZ,2012,5.970097542
Kazakhstan,KAZ,2013,5.949995041
Kazakhstan,KAZ,2014,5.533551693
Kazakhstan,KAZ,2015,5.882351398
Kazakhstan,KAZ,2016,6.00763607
Kazakhstan,KAZ,2017,6.272268295
Kazakhstan,KAZ,2018,6.168269157
Kazakhstan,KAZ,2019,6.151800156
Kazakhstan,KAZ,2020,6.234099865
Kuwait,KWT,2004,6.075547218
Kuwait,KWT,2007,6.585246086
Kuwait,KWT,2008,6.798151016
Kuwait,KWT,2009,6.377699375
Kuwait,KWT,2010,6.221094608
Kuwait,KWT,2011,6.480031013
Kuwait,KWT,2012,6.180138588
Kuwait,KWT,2013,6.146031857
Kuwait,KWT,2014,5.947194576
Kuwait,KWT,2015,6.093905449
Kuwait,KWT,2017,6.106119633
Kuwait,KWT,2019,6.106100082
Kuwait,KWT,2020,6.106100082
Kyrgyzstan,KGZ,2004,4.641398907
Kyrgyzstan,KGZ,2005,4.697761536
Kyrgyzstan,KGZ,2006,4.736588001
Kyrgyzstan,KGZ,2007,5.06905365
Kyrgyzstan,KGZ,2008,4.996410847
Kyrgyzstan,KGZ,2009,4.921049118
Kyrgyzstan,KGZ,2010,5.207785606
Kyrgyzstan,KGZ,2011,5.40242672
Kyrgyzstan,KGZ,2012,5.252192974
Kyrgyzstan,KGZ,2013,4.905375957
Kyrgyzstan,KGZ,2014,4.856534004
Kyrgyzstan,KGZ,2015,5.629536629
Kyrgyzstan,KGZ,2016,5.297383308
Kyrgyzstan,KGZ,2017,5.685220718
Kyrgyzstan,KGZ,2018,6.249586105
Kyrgyzstan,KGZ,2019,5.743599892
Kyrgyzstan,KGZ,2020,5.828499794
Lebanon,LBN,2003,5.49124527
Lebanon,LBN,2004,4.653103828
Lebanon,LBN,2006,4.594851017
Lebanon,LBN,2007,5.205998898
Lebanon,LBN,2008,5.031899452
Lebanon,LBN,2009,5.187571526
Lebanon,LBN,2010,4.572566986
Lebanon,LBN,2011,4.983288765
Lebanon,LBN,2012,5.233025551
Lebanon,LBN,2013,5.171971321
Lebanon,LBN,2014,5.27072382
Lebanon,LBN,2015,5.153989792
Lebanon,LBN,2016,5.167186737
Lebanon,LBN,2017,4.024219513
Lebanon,LBN,2019,4.583799839
Lebanon,LBN,2020,2.955300093
Oman,OMN,2009,6.852982044
Pakistan,PAK,2003,5.224657536
Pakistan,PAK,2005,5.671460629
Pakistan,PAK,2006,4.413918972
Pakistan,PAK,2007,5.208146572
Pakistan,PAK,2008,5.786132813
Pakistan,PAK,2009,5.267186165
Pakistan,PAK,2010,5.131565094
Pakistan,PAK,2011,5.138082504
Pakistan,PAK,2012,5.435657978
Pakistan,PAK,2013,4.823194981
Pakistan,PAK,2014,5.548508167
Pakistan,PAK,2015,5.830870628
Pakistan,PAK,2016,5.471553802
Pakistan,PAK,2017,4.442717552
Pakistan,PAK,2019,4.934000015
Pakistan,PAK,2020,4.515799999
Palestine,PSE,2004,4.716387749
Palestine,PSE,2005,4.151053905
Palestine,PSE,2006,4.385603428
Palestine,PSE,2007,4.470191479
Palestine,PSE,2008,4.702603817
Palestine,PSE,2009,4.751219749
Palestine,PSE,2010,4.646608353
Palestine,PSE,2011,4.844027996
Palestine,PSE,2012,4.721938133
Palestine,PSE,2013,4.695239067
Palestine,PSE,2014,4.906618118
Palestine,PSE,2015,4.62813282
Palestine,PSE,2016,4.5539217
Palestine,PSE,2017,4.48253727
Palestine,PSE,2019,4.516699791
Palestine,PSE,2020,4.482500076
Qatar,QAT,2007,6.417824268
Qatar,QAT,2008,6.849652767
Qatar,QAT,2009,6.591604233
Qatar,QAT,2010,6.611298561
Qatar,QAT,2013,6.374529362
Saudi Arabia,SAU,2003,7.079644203
Saudi Arabia,SAU,2005,7.266694069
Saudi Arabia,SAU,2006,6.811370373
Saudi Arabia,SAU,2007,6.14759016
Saudi Arabia,SAU,2008,6.307098389
Saudi Arabia,SAU,2009,6.699789524
Saudi Arabia,SAU,2010,6.396359444
Saudi Arabia,SAU,2011,6.495132923
Saudi Arabia,SAU,2012,6.27837801
Saudi Arabia,SAU,2013,6.345491886
Saudi Arabia,SAU,2014,6.473921299
Saudi Arabia,SAU,2015,6.294282436
Saudi Arabia,SAU,2016,6.356393337
Saudi Arabia,SAU,2017,6.561247349
Saudi Arabia,SAU,2018,6.559588432
Saudi Arabia,SAU,2019,6.493999958
Saudi Arabia,SAU,2020,6.522799969
Syria,SYR,2006,5.32333231
Syria,SYR,2007,4.978970528
Syria,SYR,2008,4.464707851
Syria,SYR,2009,4.037889481
Syria,SYR,2010,3.164491177
Syria,SYR,2011,2.687552929
Syria,SYR,2013,3.46191287
Turkey,TUR,2003,4.718733788
Turkey,TUR,2005,5.623471737
Turkey,TUR,2006,5.118231773
Turkey,TUR,2007,5.212841511
Turkey,TUR,2008,5.490347385
Turkey,TUR,2009,5.271944046
Turkey,TUR,2010,5.309076309
Turkey,TUR,2011,4.888177395
Turkey,TUR,2012,5.579794407
Turkey,TUR,2013,5.514465332
Turkey,TUR,2014,5.326221943
Turkey,TUR,2015,5.607262135
Turkey,TUR,2016,5.185689449
Turkey,TUR,2017,4.87207365
Turkey,TUR,2018,4.861554146
Turkey,TUR,2019,4.947599888
Turkey,TUR,2020,4.74420023
Turkmenistan,TKM,2007,6.567713261
Turkmenistan,TKM,2009,5.791754723
Turkmenistan,TKM,2010,5.463827133
Turkmenistan,TKM,2011,5.391762733
Turkmenistan,TKM,2012,5.787379265
Turkmenistan,TKM,2013,5.791460037
Turkmenistan,TKM,2014,5.887051582
Turkmenistan,TKM,2015,5.229148865
Turkmenistan,TKM,2016,4.620601654
Turkmenistan,TKM,2017,5.474299908
Turkmenistan,TKM,2019,5.066400051
Turkmenistan,TKM,2020,5.474299908
United Arab Emirates,ARE,2004,6.734221935
United Arab Emirates,ARE,2007,6.866062641
United Arab Emirates,ARE,2008,7.097455502
United Arab Emirates,ARE,2009,7.118701458
United Arab Emirates,ARE,2010,7.217766762
United Arab Emirates,ARE,2011,6.620951176
United Arab Emirates,ARE,2012,6.539854527
United Arab Emirates,ARE,2013,6.568397522
United Arab Emirates,ARE,2014,6.83095026
United Arab Emirates,ARE,2015,7.039419651
United Arab Emirates,ARE,2016,6.603743553
United Arab Emirates,ARE,2017,6.710782528
United Arab Emirates,ARE,2018,6.458392143
United Arab Emirates,ARE,2019,6.560500145
United Arab Emirates,ARE,2020,6.576000214
Uzbekistan,UZB,2004,5.232322216
Uzbekistan,UZB,2006,5.311368465
Uzbekistan,UZB,2007,5.26072073
Uzbekistan,UZB,2008,5.095342159
Uzbekistan,UZB,2009,5.738744259
Uzbekistan,UZB,2010,6.019331932
Uzbekistan,UZB,2011,5.939986229
Uzbekistan,UZB,2012,6.049212456
Uzbekistan,UZB,2013,5.972364426
Uzbekistan,UZB,2014,5.892539024
Uzbekistan,UZB,2015,6.421447754
Uzbekistan,UZB,2016,6.205460072
Uzbekistan,UZB,2017,6.154049397
Uzbekistan,UZB,2019,6.178800106
Uzbekistan,UZB,2020,6.062699795
Yemen,YEM,2005,4.477132797
Yemen,YEM,2007,4.809258938
Yemen,YEM,2008,4.35031271
Yemen,YEM,2009,3.746255636
Yemen,YEM,2010,4.060600758
Yemen,YEM,2011,4.217678547
Yemen,YEM,2012,3.967957973
Yemen,YEM,2013,2.982673883
Yemen,YEM,2014,3.825630903
Yemen,YEM,2015,3.253560066
Yemen,YEM,2016,3.057513952
Yemen,YEM,2017,4.196912766
Yemen,YEM,2019,3.657900095
Yemen,YEM,2020,4.196899891
