year bd_best bd_low bd_high type_of_conflict battle_location battle_location
2012 50440 48722 55486 3 SYR: TUR Syria:_Turkey
2013 70506 67105 75007 3 IRQ: LBN: SYR Iraq:_Lebanon:_Syria
2014 57945 56580 60210 3 LBN: SYR Lebanon:_Syria
2015 39688 38113 41135 4 JOR: SYR Jordan:_Syria
2016 32590 31439 33726 4 SYR Syria
2017 12203 11630 12910 4 LBN: SYR Lebanon:_Syria
2018 8690 8247 9167 4 SYR Syria
2019 6865 6718 7182 4 SYR Syria
2020 3513 3435 3718 4 RUS : SYR Russia_(Soviet_Union):_Syria
2021 674 662 783 4 SYR Syria
2011 190 190 570 4 ETH: SDN Ethiopia:_Sudan
2015 42 42 43 3 SSD: SDN South_Sudan:_Sudan
2016 486 486 882 3 SDN Sudan
2011 320 296 571 3 SDN Sudan
2011 145 145 145 3 SDN Sudan
2011 105 105 143 3 SSD South_Sudan
2011 111 111 183 3 SSD South_Sudan
2012 137 137 137 3 SSD South_Sudan
2011 3049 3010 5308 4 LBY Libya
2012 660 611 761 4 COD : RWA DR_Congo_(Zaire):_Rwanda
2013 1152 1142 1162 4 COD : RWA DR_Congo_(Zaire):_Rwanda
2017 28 28 32 4 COD  DR_Congo_(Zaire)
2021 35 35 35 4 COD  DR_Congo_(Zaire)
2012 25 25 25 3 DZA Algeria
2012 131 126 309 3 MLI Mali
2014 94 94 102 3 MLI Mali
2015 54 53 72 4 MLI Mali
2012 60 56 181 3 MLI Mali
2013 133 133 175 4 MLI Mali
2015 36 36 65 4 MLI Mali
2016 70 70 80 4 MLI Mali
2012 27 27 89 3 MLI Mali
2011 67 67 110 3 SDN Sudan
2012 1173 1123 1803 3 SDN Sudan
2013 594 528 3784 3 SDN Sudan
2014 489 486 2514 3 SSD: SDN South_Sudan:_Sudan
2015 1169 1169 2083 3 SSD: SDN South_Sudan:_Sudan
2016 823 817 1439 3 SDN Sudan
2017 65 53 258 3 SDN Sudan
2012 367 367 1099 2 SSD: SDN South_Sudan:_Sudan
2008 36 36 39 3 CHN China
2005 30 29 31 3 BGD Bangladesh
2006 57 57 58 3 BGD Bangladesh
2013 94 90 115 4 COD  DR_Congo_(Zaire)
2014 60 30 60 4 COD  DR_Congo_(Zaire)
2020 54 41 77 4 COD  DR_Congo_(Zaire)
2001 2044 349 2074 3 RWA Rwanda
2002 83 83 83 3 "BDI: COD"" """ Burundi:_DR_Congo_(Zaire)
2009 1824 1720 2077 4 COD  DR_Congo_(Zaire)
2010 208 207 219 4 COD  DR_Congo_(Zaire)
2011 116 101 118 4 COD  DR_Congo_(Zaire)
2012 83 59 99 4 COD : RWA DR_Congo_(Zaire):_Rwanda
2016 136 136 136 4 COD  DR_Congo_(Zaire)
2019 60 60 60 4 COD  DR_Congo_(Zaire)
2020 52 51 55 4 COD  DR_Congo_(Zaire)
1991 600 600 800 3 ETH Ethiopia
2013 70 68 122 3 MYS: PHL Malaysia:_Philippines
1992 419 419 1530 4 TJK Tajikistan
2000 46 46 46 3 TJK Tajikistan
2010 32 27 44 3 TJK Tajikistan
2013 262 240 326 3 CAF Central_African_Republic
2014 136 136 148 4 CAF Central_African_Republic
2017 35 35 35 4 CAF Central_African_Republic
2018 48 47 48 4 CAF Central_African_Republic
2015 27 27 27 4 CAF Central_African_Republic
2013 850 850 2188 3 SSD South_Sudan
2014 1667 719 2993 4 SSD South_Sudan
2015 493 492 522 4 SSD South_Sudan
2016 735 734 1155 3 SSD South_Sudan
2017 484 478 684 3 SSD: UGA South_Sudan:_Uganda
2018 526 497 727 3 SSD South_Sudan
2015 712 712 712 4 CMR Cameroon
2016 32 32 32 3 CMR Cameroon
2017 63 63 63 3 CMR Cameroon
2020 28 28 34 3 CMR Cameroon
2013 92 92 92 3 COD  DR_Congo_(Zaire)
2014 184 184 184 3 EGY Egypt
2019 31 31 46 3 IRN Iran
2013 333 333 362 4 MLI: NER Mali:_Niger
2009 87 54 93 3 MLI Mali
2013 305 305 378 4 MLI Mali
2014 47 47 80 4 MLI Mali
2015 38 36 44 4 MLI Mali
2016 26 26 31 4 MLI Mali
2017 66 66 78 4 MLI Mali
2013 65 65 89 4 MLI: NER Mali:_Niger
2014 48 48 49 4 MLI Mali
2012 46 39 51 3 SYR Syria
2013 78 63 77 3 SYR Syria
2014 52 37 61 3 SYR Syria
2015 84 81 86 3 SYR Syria
2004 1258 1258 1903 4 IRQ Iraq
2007 371 315 440 4 IRQ Iraq
2008 866 856 1250 4 IRQ Iraq
2014 131 131 131 3 LBY Libya
2015 156 156 190 3 LBY Libya
2017 166 166 166 3 LBY Libya
2019 1588 1381 1664 4 LBY Libya
2020 668 564 777 4 LBY Libya
2014 88 88 107 3 UKR Ukraine
2013 28 26 28 3 IND India
2014 39 33 58 3 IND India
2014 1861 1787 2186 4 UKR Ukraine
2014 111 73 111 3 SDN Sudan
2017 45 45 52 3 SDN Sudan
2014 256 256 761 3 SDN Sudan
2015 53 53 253 3 SDN Sudan
2014 1071 1049 1380 4 RUS : UKR Russia_(Soviet_Union):_Ukraine
2014 1458 1434 1496 4 UKR Ukraine
2015 1396 1359 1439 4 UKR Ukraine
2014 36 36 36 3 PAK Pakistan
2021 56 56 56 2 KGZ: TJK Kyrgyzstan:_Tajikistan
2014 126 126 126 3 LBN Lebanon
2015 76 42 135 3 LBN Lebanon
2017 70 69 96 3 LBN Lebanon
2014 143 143 143 3 LBY Libya
2013 29 29 30 3 MMR  Myanmar_(Burma)
2014 37 37 203 3 MMR  Myanmar_(Burma)
2015 106 106 181 3 MMR  Myanmar_(Burma)
2017 46 46 46 3 MMR  Myanmar_(Burma)
2018 46 34 77 3 MMR  Myanmar_(Burma)
2019 49 36 91 3 MMR  Myanmar_(Burma)
2016 68 68 68 3 PAK Pakistan
2017 80 80 81 3 PAK Pakistan
2018 51 51 51 3 PAK Pakistan
2019 29 29 29 3 PAK Pakistan
2021 26 26 26 3 PAK Pakistan
2015 674 625 865 4 AFG Afghanistan
2016 2141 2100 2544 4 AFG Afghanistan
2017 2795 2738 3009 4 AFG Afghanistan
2018 2842 2770 5149 4 AFG Afghanistan
2019 1075 1045 1435 4 AFG Afghanistan
2020 316 279 356 4 AFG Afghanistan
2021 264 206 322 4 AFG: PAK Afghanistan:_Pakistan
1989 53 53 53 3 ROU Romania
2015 46 46 49 3 BDI Burundi
2015 6467 6287 7441 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2016 3014 3012 3060 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2017 2674 2673 2919 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2018 4480 4442 6571 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2019 1778 1723 1945 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2020 2335 2238 2522 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2021 23189 21937 33466 4 SAU: YEM  Saudi_Arabia:_Yemen_(North_Yemen)
2015 246 246 251 3 YEM  Yemen_(North_Yemen)
2017 26 5 26 3 YEM  Yemen_(North_Yemen)
2020 33 11 62 3 YEM  Yemen_(North_Yemen)
2015 44 44 59 3 MLI Mali
2015 55 55 57 3 RUS  Russia_(Soviet_Union)
2016 69 64 85 3 RUS  Russia_(Soviet_Union)
2017 53 53 76 3 RUS  Russia_(Soviet_Union)
2018 30 30 30 3 RUS  Russia_(Soviet_Union)
2019 26 26 27 3 RUS  Russia_(Soviet_Union)
2020 30 24 31 3 RUS  Russia_(Soviet_Union)
2013 1422 1414 1642 3 SYR Syria
2014 7336 6977 8114 3 SYR Syria
2015 10382 9967 10708 4 SYR Syria
2016 10903 10651 11248 4 SYR Syria
2017 11920 11667 13077 4 SYR Syria
2018 4347 4340 4461 4 SYR Syria
2019 523 522 636 4 SYR Syria
2020 1076 771 1377 4 SYR Syria
2021 680 680 774 4 SYR Syria
2021 129 76 216 3 NGA Nigeria
2015 96 96 96 3 BDI Burundi
2015 283 283 315 4 CMR: NGA Cameroon:_Nigeria
2016 189 189 206 3 CMR: NGA Cameroon:_Nigeria
2019 135 129 153 4 CMR Cameroon
2021 62 56 134 4 CMR Cameroon
2015 272 272 272 3 TCD Chad
2017 57 57 219 3 TCD Chad
2018 108 108 109 3 TCD Chad
2019 144 144 166 3 TCD Chad
2020 143 143 696 3 TCD Chad
2021 55 55 82 3 TCD Chad
2015 171 131 338 4 NER Niger
2016 274 274 281 4 NER Niger
2017 229 229 236 4 NER Niger
2018 74 71 113 4 NER Niger
2019 283 280 322 4 NER Niger
2020 512 510 550 4 NER Niger
2021 380 297 464 4 NER Niger
2015 2063 2060 3097 4 NGA Nigeria
2016 2287 2287 2348 4 NGA Nigeria
2017 817 817 1267 4 NGA Nigeria
2018 836 693 1158 4 NGA Nigeria
2019 1013 857 1597 4 NGA Nigeria
2020 1559 1297 2470 4 NGA Nigeria
2021 1597 1431 2493 4 NGA Nigeria
2015 767 753 947 3 EGY Egypt
2016 355 355 359 3 EGY Egypt
2017 394 279 514 3 EGY Egypt
2018 652 502 654 3 EGY Egypt
2019 589 217 598 3 EGY Egypt
2020 527 206 538 3 EGY Egypt
2021 112 99 204 3 EGY Egypt
2015 161 98 192 3 IND India
2016 47 47 69 3 IND India
2017 39 39 41 3 IND India
2018 27 26 28 3 IND India
2015 26 26 27 3 SYR: TUR Syria:_Turkey
2016 1087 1082 1087 3 IRQ: SYR: TUR Iraq:_Syria:_Turkey
2017 770 703 916 3 SYR: TUR Syria:_Turkey
2016 41 41 41 3 BGD Bangladesh
2017 47 47 48 3 BGD Bangladesh
2016 34 34 35 3 JOR: SYR Jordan:_Syria
2015 30 32 32 3 TUN Tunisia
2015 118 116 121 3 LBY Libya
2016 1678 1607 2720 4 LBY Libya
2017 96 95 121 4 LBY Libya
2018 44 44 45 4 LBY Libya
2019 43 43 43 4 LBY Libya
2016 71 71 72 3 TUN Tunisia
2016 152 145 154 3 SYR Syria
2018 35 35 87 3 SYR Syria
2012 33 27 44 3 COD  DR_Congo_(Zaire)
2014 60 60 60 3 BDI Burundi
2015 39 39 39 3 BDI Burundi
2019 61 60 96 4 BDI: COD  Burundi:_DR_Congo_(Zaire)
2020 83 79 139 4 BDI: COD  Burundi:_DR_Congo_(Zaire)
2021 26 26 29 4 BDI: COD  Burundi:_DR_Congo_(Zaire)
2015 26 26 26 3 DZA Algeria
2017 27 27 27 3 IRN Iran
2016 30 28 66 3 PHL Philippines
2016 477 279 1792 3 COD  DR_Congo_(Zaire)
2017 2966 2724 3909 3 COD  DR_Congo_(Zaire)
2018 57 57 62 3 COD  DR_Congo_(Zaire)
2019 78 73 137 4 BFA Burkina_Faso
2020 160 131 182 4 BFA Burkina_Faso
2021 170 152 176 4 BFA Burkina_Faso
2017 55 55 66 3 EGY Egypt
2018 28 28 28 3 EGY Egypt
2019 48 42 54 3 EGY Egypt
2016 274 274 354 3 TUR Turkey
2016 86 84 129 3 MMR  Myanmar_(Burma)
2017 393 393 404 3 MMR  Myanmar_(Burma)
2019 33 33 36 4 SOM Somalia
2020 41 34 46 4 SOM Somalia
2021 53 53 104 3 SOM Somalia
2015 220 198 232 4 UKR Ukraine
2016 225 213 263 4 UKR Ukraine
2017 352 336 389 4 UKR Ukraine
2018 172 119 179 4 UKR Ukraine
2019 279 233 279 4 UKR Ukraine
2020 133 77 164 4 UKR Ukraine
2021 168 140 180 4 UKR Ukraine
2015 93 88 93 4 UKR Ukraine
2016 30 30 31 4 UKR Ukraine
2017 63 63 76 4 UKR Ukraine
2018 71 49 78 4 UKR Ukraine
2019 32 26 32 4 UKR Ukraine
2020 63 36 93 4 UKR Ukraine
2021 40 34 40 4 UKR Ukraine
2017 246 237 336 4 MLI Mali
2018 402 375 435 4 MLI Mali
2019 422 421 566 4 MLI Mali
2020 517 498 650 4 MLI Mali
2021 616 578 660 4 MLI Mali
2017 73 73 73 4 COD  DR_Congo_(Zaire)
2021 76 17 82 4 NER Niger
2018 79 70 103 4 BFA Burkina_Faso
2019 271 185 404 4 BFA Burkina_Faso
2020 352 183 359 4 BFA Burkina_Faso
2021 836 721 924 4 BFA Burkina_Faso
2019 110 102 188 3 SSD South_Sudan
2020 58 49 135 3 SSD South_Sudan
2021 35 35 56 3 SSD South_Sudan
2017 72 72 73 3 LBY Libya
2017 47 47 47 4 MLI Mali
2018 119 114 155 4 MLI Mali
2019 181 174 195 4 MLI Mali
2020 63 58 106 4 MLI Mali
2021 110 110 129 4 MLI Mali
2017 48 48 94 3 EGY Egypt
2017 235 235 366 3 YEM  Yemen_(North_Yemen)
2017 70 70 98 3 LBY Libya
2018 41 41 47 4 COD  DR_Congo_(Zaire)
2019 37 37 40 4 COD  DR_Congo_(Zaire)
2018 39 39 39 4 COD  DR_Congo_(Zaire)
2019 67 67 67 4 COD  DR_Congo_(Zaire)
2020 86 83 92 4 COD  DR_Congo_(Zaire)
2021 93 92 94 4 COD  DR_Congo_(Zaire)
2016 155 90 177 3 PHL Philippines
2017 1363 1336 1435 3 PHL Philippines
2018 193 159 198 3 PHL Philippines
2019 136 125 140 3 PHL Philippines
2020 75 74 75 3 PHL Philippines
2021 71 71 71 3 PHL Philippines
2016 57 57 58 3 PHL Philippines
2018 27 27 27 3 PHL Philippines
2018 93 93 93 3 COL Colombia
2019 60 60 61 3 COL: ECU Colombia:_Ecuador
2020 35 35 35 3 COL: PER Colombia:_Peru
2021 88 88 89 3 COL: VEN Colombia:_Venezuela
2018 53 47 53 3 MOZ Mozambique
2019 97 93 99 3 MOZ Mozambique
2013 31 17 61 3 LBY Libya
2019 35 35 35 4 COD : RWA DR_Congo_(Zaire):_Rwanda
2020 30 30 30 4 COD  DR_Congo_(Zaire)
2000 38 38 38 3 COL Colombia
2004 26 26 26 3 COL Colombia
2018 55 53 68 4 CAF Central_African_Republic
2019 51 48 53 4 CAF Central_African_Republic
2020 26 26 36 4 CAF Central_African_Republic
2021 196 173 196 4 CAF Central_African_Republic
2018 111 111 127 2 SYR Syria
2019 138 113 153 2 SYR Syria
2020 461 398 473 2 IRN: IRQ: SYR: YEM  Iran:_Iraq:_Syria:_Yemen_(North_Yemen)
2021 162 157 172 2 SYR Syria
2018 42 42 89 3 TCD Chad
2020 53 6 53 3 TCD Chad
1997 233 233 378 3 KHM  Cambodia_(Kampuchea)
1998 119 119 230 3 KHM  Cambodia_(Kampuchea)
1997 65 65 65 3 KHM  Cambodia_(Kampuchea)
2017 35 35 44 3 CMR Cameroon
2018 751 747 1007 3 CMR: NGA Cameroon:_Nigeria
2019 558 557 645 3 CMR Cameroon
2020 401 377 457 3 CMR Cameroon
2021 519 510 644 3 CMR Cameroon
2016 25 9 185 3 AGO Angola
2017 25 16 111 3 AGO Angola
2019 25 10 53 3 AGO: COG: COD  Angola:_Congo:_DR_Congo_(Zaire)
2020 25 11 136 3 AGO: COG: COD  Angola:_Congo:_DR_Congo_(Zaire)
2019 170 162 175 4 COD  DR_Congo_(Zaire)
2020 644 641 702 4 COD  DR_Congo_(Zaire)
2021 614 586 638 4 COD  DR_Congo_(Zaire)
2019 194 168 218 3 MOZ Mozambique
2020 937 645 1259 3 MOZ Mozambique
2021 711 532 1033 4 MOZ Mozambique
2019 27 27 27 3 ETH Ethiopia
2019 131 131 210 4 COD  DR_Congo_(Zaire)
2020 52 52 52 4 COD  DR_Congo_(Zaire)
2019 37 37 37 3 PAK Pakistan
2020 120 77 121 3 PAK Pakistan
2021 129 109 147 3 PAK Pakistan
2020 55 55 70 4 AFG Afghanistan
2019 40 40 43 3 ETH Ethiopia
2020 25 25 398 3 ETH Ethiopia
2021 280 276 3774 3 ETH Ethiopia
2005 34 34 34 3 COD  DR_Congo_(Zaire)
2016 29 29 30 3 COD  DR_Congo_(Zaire)
2021 37 33 37 4 COD  DR_Congo_(Zaire)
2020 25 22 26 3 TZA Tanzania
2020 31 31 31 4 CAF Central_African_Republic
2021 732 592 735 4 CAF Central_African_Republic
2021 431 431 631 3 TCD Chad
2021 684 595 3288 3 MMR  Myanmar_(Burma)
2021 534 85 1834 3 AFG Afghanistan
2000 30 30 30 3 TUR Turkey
2021 153 153 153 3 SSD South_Sudan
1990 31 31 335 3 IRN Iran
1993 110 110 110 3 IRN: IRQ Iran:_Iraq
1996 27 27 29 3 IRN: IRQ Iran:_Iraq
2016 30 30 137 3 IRN: IRQ Iran:_Iraq
2018 44 33 78 3 IRN: IRQ Iran:_Iraq
1989 725 704 766 3 PHL Philippines
1990 1140 1140 1149 3 PHL Philippines
1991 1514 1514 1933 3 PHL Philippines
1992 430 430 454 3 PHL Philippines
1993 99 99 114 3 PHL Philippines
1994 69 69 73 3 PHL Philippines
1995 36 36 41 3 PHL Philippines
1997 32 32 32 3 PHL Philippines
1999 93 93 98 3 PHL Philippines
2000 140 140 140 3 PHL Philippines
2001 97 93 299 3 PHL Philippines
2002 280 280 291 3 PHL Philippines
2003 231 227 236 3 PHL Philippines
2004 270 264 344 3 PHL Philippines
2005 234 222 243 3 PHL Philippines
2006 310 310 1018 3 PHL Philippines
2007 132 132 1077 3 PHL Philippines
2008 184 184 217 3 PHL Philippines
2009 377 377 400 3 PHL Philippines
2010 258 258 352 3 PHL Philippines
2011 204 204 210 3 PHL Philippines
2012 182 181 193 3 PHL Philippines
2013 165 165 170 3 PHL Philippines
2014 190 187 199 3 PHL Philippines
2015 168 168 173 3 PHL Philippines
2016 92 92 101 3 PHL Philippines
2017 174 174 214 3 PHL Philippines
2018 144 103 149 3 PHL Philippines
2019 138 135 176 3 PHL Philippines
2020 165 165 166 3 PHL Philippines
2021 195 195 195 3 PHL Philippines
1989 97 97 119 3 PHL Philippines
1990 25 25 25 3 PHL Philippines
1989 25 25 25 2 IND India
1990 28 26 28 2 IND: PAK India:_Pakistan
1991 99 99 195 2 IND: PAK India:_Pakistan
1992 25 25 33 2 IND India
1994 42 42 42 2 IND: PAK India:_Pakistan
1996 35 35 35 2 IND: PAK India:_Pakistan
1997 127 127 133 2 IND: PAK India:_Pakistan
1998 147 147 163 2 IND: PAK India:_Pakistan
1999 934 914 1508 2 IND: PAK India:_Pakistan
2000 198 198 234 2 IND: PAK India:_Pakistan
2001 46 46 84 2 IND: PAK India:_Pakistan
2002 212 212 233 2 IND: PAK India:_Pakistan
2003 237 237 276 2 IND: PAK India:_Pakistan
2013 31 31 33 2 IND: PAK India:_Pakistan
2014 49 46 68 2 IND: PAK India:_Pakistan
2015 63 62 64 2 IND: PAK India:_Pakistan
2016 100 100 112 2 IND: PAK India:_Pakistan
2017 151 151 153 2 IND: PAK India:_Pakistan
2018 129 126 164 2 IND: PAK India:_Pakistan
2019 164 164 175 2 IND: PAK India:_Pakistan
2020 162 162 168 2 IND: PAK India:_Pakistan
1989 150 17 300 3 PRY Paraguay
1989 1000 809 1355 3 MMR : THA Myanmar_(Burma):_Thailand
1990 393 393 428 3 MMR : THA Myanmar_(Burma):_Thailand
1991 552 497 672 3 MMR  Myanmar_(Burma)
1992 1163 1130 1275 3 MMR  Myanmar_(Burma)
1994 25 15 25 3 MMR  Myanmar_(Burma)
1995 110 60 110 3 MMR  Myanmar_(Burma)
1997 41 41 41 3 MMR  Myanmar_(Burma)
1998 36 36 36 3 MMR  Myanmar_(Burma)
2000 68 66 68 3 MMR : THA Myanmar_(Burma):_Thailand
2001 36 36 36 3 MMR : THA Myanmar_(Burma):_Thailand
2002 110 108 121 3 MMR  Myanmar_(Burma)
2003 38 38 44 3 MMR  Myanmar_(Burma)
2004 27 25 28 3 MMR  Myanmar_(Burma)
2005 42 38 46 3 MMR  Myanmar_(Burma)
2006 104 79 105 3 MMR  Myanmar_(Burma)
2007 104 104 106 3 MMR  Myanmar_(Burma)
2008 33 33 36 3 MMR : THA Myanmar_(Burma):_Thailand
2009 63 43 79 3 MMR  Myanmar_(Burma)
2010 63 50 63 3 MMR : THA Myanmar_(Burma):_Thailand
2011 219 203 1351 3 MMR  Myanmar_(Burma)
2021 78 72 991 3 MMR  Myanmar_(Burma)
2000 46 46 46 3 MMR  Myanmar_(Burma)
2010 58 56 62 3 MMR  Myanmar_(Burma)
2011 115 115 116 3 MMR  Myanmar_(Burma)
2013 41 41 41 3 MMR  Myanmar_(Burma)
1990 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1992 25 25 25 3 MMR  Myanmar_(Burma)
1994 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1994 109 109 109 3 MMR  Myanmar_(Burma)
1990 112 112 112 3 MMR  Myanmar_(Burma)
1996 80 80 80 3 MMR  Myanmar_(Burma)
1991 78 78 78 3 IND India
1992 322 322 502 3 IND India
1993 182 174 193 3 IND India
1994 68 68 68 3 IND India
1996 173 172 173 3 IND India
1997 84 78 85 3 IND India
1998 99 99 111 3 IND India
1999 91 91 91 3 IND India
2000 146 142 151 3 IND India
2001 108 93 108 3 IND India
2002 122 121 132 3 IND India
2003 66 66 71 3 IND India
2004 27 27 27 3 IND India
1999 35 29 39 3 IND India
2000 25 25 25 3 IND India
2001 65 65 65 3 IND India
2002 57 57 57 3 IND India
2003 33 33 33 3 IND India
2004 38 38 38 3 IND India
2005 199 199 241 3 IND India
2006 546 489 608 3 IND India
2007 377 373 404 3 IND India
2008 384 376 437 3 IND India
2009 522 513 654 3 IND India
2010 569 556 664 3 IND India
2011 299 299 348 3 IND India
2012 245 237 278 3 IND India
2013 215 209 236 3 IND India
2014 198 171 245 3 IND India
2015 146 146 205 3 IND India
2016 268 244 323 3 IND India
2017 245 244 246 3 IND India
2018 309 304 321 3 IND India
2019 216 216 217 3 IND India
2020 153 152 175 3 IND India
2021 181 175 193 3 IND India
2009 94 94 103 4 YEM  Yemen_(North_Yemen)
2010 175 149 244 4 YEM  Yemen_(North_Yemen)
2011 1140 1135 1195 4 YEM  Yemen_(North_Yemen)
2012 2330 2328 2415 4 YEM  Yemen_(North_Yemen)
2013 582 581 641 4 YEM  Yemen_(North_Yemen)
2014 1034 1034 1375 4 YEM  Yemen_(North_Yemen)
2015 145 145 153 3 YEM  Yemen_(North_Yemen)
2016 32 10 33 3 YEM  Yemen_(North_Yemen)
2017 130 4 163 3 YEM  Yemen_(North_Yemen)
2018 36 7 37 3 YEM  Yemen_(North_Yemen)
1989 194 194 194 3 MMR  Myanmar_(Burma)
1990 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1992 25 25 25 3 MMR  Myanmar_(Burma)
2011 209 208 574 3 MMR  Myanmar_(Burma)
2012 702 676 2198 3 MMR  Myanmar_(Burma)
2013 125 117 143 3 MMR  Myanmar_(Burma)
2014 83 83 84 3 MMR  Myanmar_(Burma)
2015 142 142 224 3 MMR  Myanmar_(Burma)
2016 32 31 47 3 MMR  Myanmar_(Burma)
2017 43 43 43 3 MMR  Myanmar_(Burma)
2018 26 21 52 3 MMR  Myanmar_(Burma)
2019 29 29 30 3 MMR  Myanmar_(Burma)
2021 136 132 503 3 MMR  Myanmar_(Burma)
1989 82 82 300 3 GTM Guatemala
1990 83 83 114 3 GTM Guatemala
1991 72 72 85 3 GTM Guatemala
1992 67 67 95 3 GTM Guatemala
1993 58 58 86 3 GTM Guatemala
1994 37 37 39 3 GTM Guatemala
1995 27 21 27 3 GTM Guatemala
1989 27 27 30 3 ISR: LBN Israel:_Lebanon
2001 27 24 34 3 ISR Israel
1989 27 27 33 3 ISR: LBN Israel:_Lebanon
1990 29 26 49 3 ISR: LBN Israel:_Lebanon
1991 28 28 30 3 ISR: LBN Israel:_Lebanon
1992 33 32 36 3 FRA: ISR: LBN France:_Israel:_Lebanon
2000 30 27 32 3 ISR Israel
2001 37 37 42 3 ISR Israel
2002 62 62 62 3 ISR Israel
2005 39 37 41 3 ISR Israel
2006 72 68 81 3 ISR Israel
2007 41 41 47 3 ISR Israel
1993 47 47 48 3 ISR Israel
1994 44 41 45 3 ISR Israel
2001 79 77 83 3 ISR Israel
2002 195 189 201 3 ISR Israel
2003 220 220 231 3 ISR Israel
2004 204 202 238 3 ISR: SYR Israel:_Syria
2005 34 34 41 3 ISR Israel
2006 121 121 148 3 ISR Israel
2007 141 141 160 3 ISR Israel
2008 603 515 641 3 ISR Israel
2009 657 559 828 3 ISR Israel
2011 35 35 35 3 ISR Israel
2012 197 198 207 3 ISR Israel
2014 2143 2133 2146 3 ISR Israel
2018 53 53 62 3 ISR Israel
2021 233 233 233 3 ISR Israel
1995 34 34 36 3 ISR: MLT Israel:_Malta
2001 26 26 26 3 ISR Israel
2002 107 107 111 3 ISR Israel
2003 52 52 56 3 ISR Israel
2004 70 60 74 3 ISR Israel
2005 47 45 53 3 ISR Israel
2006 90 90 97 3 ISR: LBN Israel:_Lebanon
2007 94 93 98 3 ISR Israel
2008 62 62 71 3 ISR Israel
2009 39 39 39 3 ISR Israel
