Entity,Code,Year,3_1_Research_frac_GDP
Mongolia,MNG,2000,0.1875700056552887
Mongolia,MNG,2001,0.2674899995326996
Mongolia,MNG,2002,0.2517299950122833
Mongolia,MNG,2003,0.251800000667572
Mongolia,MNG,2004,0.267769992351532
Mongolia,MNG,2005,0.2377600073814392
Mongolia,MNG,2006,0.19121000170707703
Mongolia,MNG,2007,0.23826999962329865
Mongolia,MNG,2008,0.33667001128196716
Mongolia,MNG,2009,0.3047800064086914
Mongolia,MNG,2010,0.24437999725341797
Mongolia,MNG,2011,0.23054000735282898
Mongolia,MNG,2012,0.23913000524044037
Mongolia,MNG,2013,0.23246000707149506
Mongolia,MNG,2014,0.22339999675750732
Mongolia,MNG,2015,0.15467999875545502
Mongolia,MNG,2016,0.18336999416351318
Mongolia,MNG,2017,0.13484999537467957
Mongolia,MNG,2018,0.10215000063180923
Myanmar,MMR,1997,0.059849999845027924
Myanmar,MMR,1998,0.034170001745224
Myanmar,MMR,1999,0.04405999928712845
Myanmar,MMR,2000,0.11305999755859375
Myanmar,MMR,2001,0.07143999636173248
Myanmar,MMR,2002,0.1621599942445755
Myanmar,MMR,2017,0.031050000339746475
Nepal,NPL,2008,0.05438999831676483
Nepal,NPL,2009,0.2592400014400482
Nepal,NPL,2010,0.30219998955726624
Oman,OMN,2011,0.1362999975681305
Oman,OMN,2012,0.20857000350952148
Oman,OMN,2013,0.1695600003004074
Oman,OMN,2014,0.2125300019979477
Oman,OMN,2015,0.2516300082206726
Oman,OMN,2016,0.26034000515937805
Oman,OMN,2017,0.22819000482559204
Oman,OMN,2018,0.21966999769210815
Philippines,PHL,2002,0.13263000547885895
Philippines,PHL,2003,0.12526999413967133
Philippines,PHL,2005,0.10691999644041061
Philippines,PHL,2007,0.1049799993634224
Philippines,PHL,2009,0.1090100035071373
Philippines,PHL,2011,0.11221999675035477
Philippines,PHL,2013,0.13207000494003296
Philippines,PHL,2015,0.15682999789714813
Singapore,SGP,1996,1.3199100494384766
Singapore,SGP,1997,1.4156399965286255
Singapore,SGP,1998,1.7370699644088745
Singapore,SGP,1999,1.8162399530410767
Singapore,SGP,2000,1.8169900178909302
Singapore,SGP,2001,2.009310007095337
Singapore,SGP,2002,2.032819986343384
Singapore,SGP,2003,1.9967900514602661
Singapore,SGP,2004,2.078589916229248
Singapore,SGP,2005,2.1481199264526367
Singapore,SGP,2006,2.116610050201416
Singapore,SGP,2007,2.3198800086975098
Singapore,SGP,2008,2.5967400074005127
Singapore,SGP,2009,2.129240036010742
Singapore,SGP,2010,1.9313700199127197
Singapore,SGP,2011,2.070650100708008
Singapore,SGP,2012,1.9193899631500244
Singapore,SGP,2013,1.9233499765396118
Singapore,SGP,2014,2.0846400260925293
Singapore,SGP,2015,2.1819798946380615
Singapore,SGP,2016,2.0762898921966553
Singapore,SGP,2017,1.924649953842163
South Korea,KOR,1996,2.2161600589752197
South Korea,KOR,1997,2.248300075531006
South Korea,KOR,1998,2.110260009765625
South Korea,KOR,1999,2.01567006111145
South Korea,KOR,2000,2.125190019607544
South Korea,KOR,2001,2.2786500453948975
South Korea,KOR,2002,2.207740068435669
South Korea,KOR,2003,2.2772200107574463
South Korea,KOR,2004,2.4421401023864746
South Korea,KOR,2005,2.522900104522705
South Korea,KOR,2006,2.7193400859832764
South Korea,KOR,2007,2.872580051422119
South Korea,KOR,2008,2.9888699054718018
South Korea,KOR,2009,3.1466898918151855
South Korea,KOR,2010,3.3157799243927
South Korea,KOR,2011,3.5919899940490723
South Korea,KOR,2012,3.850399971008301
South Korea,KOR,2013,3.951240062713623
South Korea,KOR,2014,4.077859878540039
South Korea,KOR,2015,3.9781999588012695
South Korea,KOR,2016,3.9870400428771973
South Korea,KOR,2017,4.292059898376465
South Korea,KOR,2018,4.527530193328857
Sri Lanka,LKA,1996,0.18355999886989594
Sri Lanka,LKA,2000,0.14392000436782837
Sri Lanka,LKA,2004,0.18209999799728394
Sri Lanka,LKA,2006,0.17419999837875366
Sri Lanka,LKA,2008,0.11444000154733658
Sri Lanka,LKA,2010,0.13686999678611755
Sri Lanka,LKA,2013,0.10080999881029129
Sri Lanka,LKA,2014,0.09989000111818314
Sri Lanka,LKA,2015,0.10870999842882156
Sri Lanka,LKA,2016,0.12853999435901642
Sri Lanka,LKA,2017,0.12758000195026398
Thailand,THA,1996,0.11918000131845474
Thailand,THA,1997,0.10214000195264816
Thailand,THA,1999,0.24835999310016632
Thailand,THA,2000,0.24470999836921692
Thailand,THA,2001,0.25231000781059265
Thailand,THA,2002,0.23055000603199005
Thailand,THA,2003,0.2453400045633316
Thailand,THA,2004,0.23827999830245972
Thailand,THA,2005,0.2188899964094162
Thailand,THA,2006,0.23271000385284424
Thailand,THA,2007,0.20080000162124634
Thailand,THA,2008,0.20330999791622162
Thailand,THA,2009,0.23454999923706055
Thailand,THA,2011,0.36146000027656555
Thailand,THA,2013,0.4416399896144867
Thailand,THA,2014,0.4798800051212311
Thailand,THA,2015,0.6160899996757507
Thailand,THA,2016,0.7781699895858765
Thailand,THA,2017,1.0017900466918945
Vietnam,VNM,2002,0.19272999465465546
Vietnam,VNM,2011,0.19043999910354614
Vietnam,VNM,2013,0.37358999252319336
Vietnam,VNM,2015,0.44113001227378845
Vietnam,VNM,2017,0.5267400145530701
