2018 27 27 27 3 PHL Philippines
1997 233 233 378 3 KHM  Cambodia_(Kampuchea)
1998 119 119 230 3 KHM  Cambodia_(Kampuchea)
1997 65 65 65 3 KHM  Cambodia_(Kampuchea)
2021 684 595 3288 3 MMR  Myanmar_(Burma)
1989 725 704 766 3 PHL Philippines
1990 1140 1140 1149 3 PHL Philippines
1991 1514 1514 1933 3 PHL Philippines
1992 430 430 454 3 PHL Philippines
1993 99 99 114 3 PHL Philippines
1994 69 69 73 3 PHL Philippines
1995 36 36 41 3 PHL Philippines
1997 32 32 32 3 PHL Philippines
1999 93 93 98 3 PHL Philippines
2000 140 140 140 3 PHL Philippines
2001 97 93 299 3 PHL Philippines
2002 280 280 291 3 PHL Philippines
2003 231 227 236 3 PHL Philippines
2004 270 264 344 3 PHL Philippines
2005 234 222 243 3 PHL Philippines
2006 310 310 1018 3 PHL Philippines
2007 132 132 1077 3 PHL Philippines
2008 184 184 217 3 PHL Philippines
2009 377 377 400 3 PHL Philippines
2010 258 258 352 3 PHL Philippines
2011 204 204 210 3 PHL Philippines
2012 182 181 193 3 PHL Philippines
2013 165 165 170 3 PHL Philippines
2014 190 187 199 3 PHL Philippines
2015 168 168 173 3 PHL Philippines
2016 92 92 101 3 PHL Philippines
2017 174 174 214 3 PHL Philippines
2018 144 103 149 3 PHL Philippines
2019 138 135 176 3 PHL Philippines
2020 165 165 166 3 PHL Philippines
2021 195 195 195 3 PHL Philippines
1989 97 97 119 3 PHL Philippines
1990 25 25 25 3 PHL Philippines
1989 25 25 25 2 IND India
1990 28 26 28 2 IND: PAK India:_Pakistan
1991 99 99 195 2 IND: PAK India:_Pakistan
1992 25 25 33 2 IND India
1994 42 42 42 2 IND: PAK India:_Pakistan
1996 35 35 35 2 IND: PAK India:_Pakistan
1997 127 127 133 2 IND: PAK India:_Pakistan
1998 147 147 163 2 IND: PAK India:_Pakistan
1999 934 914 1508 2 IND: PAK India:_Pakistan
2000 198 198 234 2 IND: PAK India:_Pakistan
2001 46 46 84 2 IND: PAK India:_Pakistan
2002 212 212 233 2 IND: PAK India:_Pakistan
2003 237 237 276 2 IND: PAK India:_Pakistan
2013 31 31 33 2 IND: PAK India:_Pakistan
2014 49 46 68 2 IND: PAK India:_Pakistan
2015 63 62 64 2 IND: PAK India:_Pakistan
2016 100 100 112 2 IND: PAK India:_Pakistan
2017 151 151 153 2 IND: PAK India:_Pakistan
2018 129 126 164 2 IND: PAK India:_Pakistan
2019 164 164 175 2 IND: PAK India:_Pakistan
2020 162 162 168 2 IND: PAK India:_Pakistan
1989 1000 809 1355 3 MMR : THA Myanmar_(Burma):_Thailand
1990 393 393 428 3 MMR : THA Myanmar_(Burma):_Thailand
1991 552 497 672 3 MMR  Myanmar_(Burma)
1992 1163 1130 1275 3 MMR  Myanmar_(Burma)
1994 25 15 25 3 MMR  Myanmar_(Burma)
1995 110 60 110 3 MMR  Myanmar_(Burma)
1997 41 41 41 3 MMR  Myanmar_(Burma)
1998 36 36 36 3 MMR  Myanmar_(Burma)
2000 68 66 68 3 MMR : THA Myanmar_(Burma):_Thailand
2001 36 36 36 3 MMR : THA Myanmar_(Burma):_Thailand
2002 110 108 121 3 MMR  Myanmar_(Burma)
2003 38 38 44 3 MMR  Myanmar_(Burma)
2004 27 25 28 3 MMR  Myanmar_(Burma)
2005 42 38 46 3 MMR  Myanmar_(Burma)
2006 104 79 105 3 MMR  Myanmar_(Burma)
2007 104 104 106 3 MMR  Myanmar_(Burma)
2008 33 33 36 3 MMR : THA Myanmar_(Burma):_Thailand
2009 63 43 79 3 MMR  Myanmar_(Burma)
2010 63 50 63 3 MMR : THA Myanmar_(Burma):_Thailand
2011 219 203 1351 3 MMR  Myanmar_(Burma)
2021 78 72 991 3 MMR  Myanmar_(Burma)
2000 46 46 46 3 MMR  Myanmar_(Burma)
2010 58 56 62 3 MMR  Myanmar_(Burma)
2011 115 115 116 3 MMR  Myanmar_(Burma)
2013 41 41 41 3 MMR  Myanmar_(Burma)
1990 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1992 25 25 25 3 MMR  Myanmar_(Burma)
1994 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1994 109 109 109 3 MMR  Myanmar_(Burma)
1990 112 112 112 3 MMR  Myanmar_(Burma)
1996 80 80 80 3 MMR  Myanmar_(Burma)
1991 78 78 78 3 IND India
1992 322 322 502 3 IND India
1993 182 174 193 3 IND India
1994 68 68 68 3 IND India
1996 173 172 173 3 IND India
1997 84 78 85 3 IND India
1998 99 99 111 3 IND India
1999 91 91 91 3 IND India
2000 146 142 151 3 IND India
2001 108 93 108 3 IND India
2002 122 121 132 3 IND India
2003 66 66 71 3 IND India
2004 27 27 27 3 IND India
1999 35 29 39 3 IND India
2000 25 25 25 3 IND India
2001 65 65 65 3 IND India
2002 57 57 57 3 IND India
2003 33 33 33 3 IND India
2004 38 38 38 3 IND India
2005 199 199 241 3 IND India
2006 546 489 608 3 IND India
2007 377 373 404 3 IND India
2008 384 376 437 3 IND India
2009 522 513 654 3 IND India
2010 569 556 664 3 IND India
2011 299 299 348 3 IND India
2012 245 237 278 3 IND India
2013 215 209 236 3 IND India
2014 198 171 245 3 IND India
2015 146 146 205 3 IND India
2016 268 244 323 3 IND India
2017 245 244 246 3 IND India
2018 309 304 321 3 IND India
2019 216 216 217 3 IND India
2020 153 152 175 3 IND India
2021 181 175 193 3 IND India
1989 194 194 194 3 MMR  Myanmar_(Burma)
1990 25 25 25 3 MMR  Myanmar_(Burma)
1991 25 25 25 3 MMR  Myanmar_(Burma)
1992 25 25 25 3 MMR  Myanmar_(Burma)
2011 209 208 574 3 MMR  Myanmar_(Burma)
2012 702 676 2198 3 MMR  Myanmar_(Burma)
2013 125 117 143 3 MMR  Myanmar_(Burma)
2014 83 83 84 3 MMR  Myanmar_(Burma)
2015 142 142 224 3 MMR  Myanmar_(Burma)
2016 32 31 47 3 MMR  Myanmar_(Burma)
2017 43 43 43 3 MMR  Myanmar_(Burma)
2018 26 21 52 3 MMR  Myanmar_(Burma)
2019 29 29 30 3 MMR  Myanmar_(Burma)
2021 136 132 503 3 MMR  Myanmar_(Burma)
1992 47 47 47 3 IND India
1993 92 92 128 3 IND India
1994 60 58 69 3 IND India
1995 95 95 95 3 IND India
1996 40 40 40 3 IND India
1997 37 37 37 3 IND India
2000 30 18 30 3 IND India
1992 404 402 404 3 MMR  Myanmar_(Burma)
1996 124 124 140 3 MMR  Myanmar_(Burma)
2005 35 35 35 3 MMR : THA Myanmar_(Burma):_Thailand
2021 62 40 317 3 MMR  Myanmar_(Burma)
1989 30 30 30 3 LAO Laos
1990 249 45 249 3 LAO Laos
1993 130 130 230 3 MMR  Myanmar_(Burma)
1994 526 526 984 3 MMR  Myanmar_(Burma)
1995 174 174 332 3 MMR  Myanmar_(Burma)
1996 25 25 25 3 MMR  Myanmar_(Burma)
1997 152 152 157 3 MMR  Myanmar_(Burma)
1998 25 4 25 3 MMR  Myanmar_(Burma)
1999 25 25 25 3 MMR  Myanmar_(Burma)
2000 69 69 69 3 MMR  Myanmar_(Burma)
2001 117 117 117 3 MMR : THA Myanmar_(Burma):_Thailand
2002 184 183 250 3 MMR : THA Myanmar_(Burma):_Thailand
2005 27 27 28 3 MMR  Myanmar_(Burma)
2006 48 38 49 3 MMR  Myanmar_(Burma)
2007 29 29 29 3 MMR  Myanmar_(Burma)
2008 31 31 31 3 MMR  Myanmar_(Burma)
2009 52 52 60 3 MMR  Myanmar_(Burma)
2010 36 36 36 3 MMR  Myanmar_(Burma)
2011 29 29 29 3 MMR  Myanmar_(Burma)
2013 32 29 34 3 MMR  Myanmar_(Burma)
1996 44 44 46 3 NPL Nepal
1997 40 40 40 3 NPL Nepal
1998 250 118 302 3 NPL Nepal
1999 156 147 306 3 NPL Nepal
2000 268 259 295 3 NPL Nepal
2001 429 380 479 3 NPL Nepal
2002 3946 2773 4105 3 NPL Nepal
2003 1341 1275 1405 3 NPL Nepal
2004 1880 1848 2040 3 NPL Nepal
2005 1104 1100 1169 3 NPL Nepal
2006 457 452 477 3 NPL Nepal
2020 25 25 25 2 IND India
2018 25 24 41 3 IDN Indonesia
2021 51 24 59 3 IDN Indonesia
2011 29 29 36 2 KHM : THA Cambodia_(Kampuchea):_Thailand
1989 404 404 1894 4 KHM : THA Cambodia_(Kampuchea):_Thailand
1990 174 168 557 3 KHM  Cambodia_(Kampuchea)
1991 40 40 99 3 KHM  Cambodia_(Kampuchea)
1992 118 118 118 3 KHM  Cambodia_(Kampuchea)
1993 274 274 393 3 KHM  Cambodia_(Kampuchea)
1994 464 404 1126 3 KHM  Cambodia_(Kampuchea)
1995 694 684 1105 3 KHM  Cambodia_(Kampuchea)
1996 788 788 1007 3 KHM  Cambodia_(Kampuchea)
1997 117 117 206 3 KHM  Cambodia_(Kampuchea)
1998 127 127 155 3 KHM : THA Cambodia_(Kampuchea):_Thailand
1989 271 271 401 4 KHM  Cambodia_(Kampuchea)
1990 100 100 100 3 KHM  Cambodia_(Kampuchea)
1991 30 30 102 3 KHM  Cambodia_(Kampuchea)
1989 143 143 143 4 KHM  Cambodia_(Kampuchea)
1991 150 150 250 3 KHM  Cambodia_(Kampuchea)
1989 115 115 115 3 PHL Philippines
1990 64 64 64 3 PHL Philippines
1993 124 124 147 3 PHL Philippines
1990 77 77 77 3 PHL Philippines
1994 104 104 121 3 PHL Philippines
1996 135 135 136 3 PHL Philippines
1997 201 161 275 3 PHL Philippines
1998 38 38 38 3 PHL Philippines
1999 106 73 135 3 PHL Philippines
2000 1055 1038 1129 3 PHL Philippines
2001 129 129 141 3 PHL Philippines
2002 129 129 146 3 PHL Philippines
2003 690 572 899 3 PHL Philippines
2004 30 27 48 3 PHL Philippines
2005 39 37 54 3 PHL Philippines
2007 49 49 54 3 PHL Philippines
2008 297 297 546 3 PHL Philippines
2009 318 312 345 3 PHL Philippines
2011 83 83 86 3 PHL Philippines
2015 65 65 83 3 PHL Philippines
1993 30 30 31 3 PHL Philippines
1994 92 92 92 3 PHL Philippines
1995 116 116 122 3 PHL Philippines
1996 45 45 48 3 PHL Philippines
1997 69 69 73 3 PHL Philippines
1998 55 55 55 3 PHL Philippines
2000 372 367 430 3 PHL Philippines
2001 327 327 443 3 PHL Philippines
2002 253 253 270 3 PHL Philippines
2003 128 121 135 3 PHL Philippines
2004 39 39 51 3 PHL Philippines
2005 165 164 174 3 PHL Philippines
2006 50 50 116 3 PHL Philippines
2007 233 233 247 3 PHL Philippines
2009 199 189 203 3 PHL Philippines
2010 74 74 85 3 PHL Philippines
2011 63 63 85 3 PHL Philippines
2012 78 72 80 3 PHL Philippines
2013 48 48 48 3 PHL Philippines
2014 142 142 143 3 PHL Philippines
2015 161 151 178 3 PHL Philippines
2016 145 132 151 3 PHL Philippines
2017 84 84 90 4 MYS: PHL Malaysia:_Philippines
2018 56 56 56 3 PHL Philippines
2019 35 35 35 3 PHL Philippines
2020 108 108 109 3 PHL Philippines
2001 196 99 213 3 PHL Philippines
2005 32 32 59 3 PHL Philippines
2013 239 239 239 3 PHL Philippines
2007 25 25 25 3 PHL Philippines
1989 388 388 517 3 LKA Sri_Lanka
1990 61 61 61 3 LKA Sri_Lanka
1989 26 26 26 3 BGD Bangladesh
1990 45 45 45 3 BGD Bangladesh
1991 25 22 45 3 BGD Bangladesh
1992 39 39 39 3 IDN Indonesia
1997 51 51 79 3 IDN Indonesia
1998 30 14 48 3 IDN Indonesia
1999 26 26 30 3 IDN Indonesia
1992 29 29 31 3 IND India
1997 32 12 32 3 IND India
1997 40 40 40 3 IND India
1999 32 38 38 3 IND India
2000 61 59 64 3 IND India
2001 32 32 32 3 IND India
2002 40 40 40 3 IND India
2003 32 32 32 3 IND India
1995 25 25 25 3 IND India
1996 28 28 28 3 IND India
1998 25 25 25 3 IND India
2000 29 29 29 3 IND India
2004 26 26 26 3 IND India
2006 42 41 42 3 IND India
1993 25 25 25 3 IND India
1994 25 25 25 3 IND India
1999 31 31 31 3 IND India
2000 31 31 35 3 IND India
2003 27 27 27 3 IND India
2004 34 34 34 3 IND India
2005 47 47 53 3 IND India
2006 31 28 33 3 IND India
2007 45 45 73 3 IND India
2009 29 26 35 3 IND India
2008 63 63 64 3 IND India
2009 29 8 41 3 IND India
2008 36 36 36 3 IND India
2009 38 25 38 3 IND India
1989 905 905 928 3 IND India
1990 1839 1839 1882 3 IND India
1991 2673 2673 2739 3 IND India
1992 2390 2390 2444 3 IND India
1993 358 358 360 3 IND India
1989 34 34 34 3 LKA Sri_Lanka
1990 3561 3561 4600 3 LKA Sri_Lanka
1991 6432 6432 6787 3 LKA Sri_Lanka
1992 4091 4091 4247 3 LKA Sri_Lanka
1993 2075 2075 2347 3 LKA Sri_Lanka
1994 657 657 746 3 LKA Sri_Lanka
1995 4755 4748 5062 3 LKA Sri_Lanka
1996 3868 3868 4254 3 FRA: LKA France:_Sri_Lanka
1997 2880 2880 3959 3 LKA Sri_Lanka
1998 3762 3763 4420 3 LKA Sri_Lanka
1999 1882 1882 2616 3 LKA Sri_Lanka
2000 2525 2525 4155 3 LKA Sri_Lanka
2001 1144 1144 1145 3 LKA Sri_Lanka
2003 29 17 46 3 LKA Sri_Lanka
2005 88 88 90 3 LKA Sri_Lanka
2006 1970 1970 2845 3 LKA Sri_Lanka
2007 2494 2391 3070 3 LKA Sri_Lanka
2008 8262 8262 9917 3 LKA Sri_Lanka
2009 10165 10136 13702 3 LKA Sri_Lanka
1989 111 111 111 3 LKA Sri_Lanka
1990 407 402 586 3 IND India
1991 330 330 551 3 IND India
1992 265 265 337 3 IND India
1993 846 845 1159 3 IND India
1994 958 955 1148 3 IND India
1995 687 687 894 3 IND India
1996 489 489 1232 3 IND India
1997 533 533 555 3 IND India
1998 576 576 701 3 IND India
1999 864 844 876 3 IND India
2000 2353 2341 2408 3 IND: PAK India:_Pakistan
2001 739 668 3465 3 IND India
2002 1493 1493 1493 3 IND India
2003 1312 1306 1402 3 IND India
2004 1001 991 1054 3 IND India
2005 1058 1055 1139 3 IND India
2006 705 698 728 3 IND India
2007 550 540 562 3 IND India
2008 500 482 525 3 IND India
2009 361 358 393 3 IND India
2010 370 365 437 3 IND India
2011 140 140 147 3 IND India
2012 144 143 147 3 IND India
2013 146 140 147 3 IND India
2014 179 178 228 3 IND India
2015 165 164 170 3 IND India
2016 281 281 296 3 AFG: IND Afghanistan:_India
2017 322 322 322 3 IND India
2018 386 387 391 3 IND India
2019 267 266 276 3 IND India
2020 311 311 312 3 IND: PAK India:_Pakistan
2021 250 247 254 3 IND: PAK India:_Pakistan
1990 30 6 30 3 IND India
1994 25 25 126 3 IND India
1995 29 17 78 3 IND India
1996 48 48 53 3 IND India
1997 112 112 119 3 IND India
1998 55 55 57 3 IND India
1999 53 53 58 3 IND India
2000 87 76 87 3 IND India
2001 113 113 124 3 IND India
2002 59 59 59 3 IND India
2003 43 43 58 3 IND India
2004 70 69 74 3 IND India
2005 78 77 78 3 IND India
2006 49 49 50 3 IND India
2007 114 114 120 3 IND India
2008 75 75 78 3 IND India
2009 63 61 65 3 IND India
2010 32 32 33 3 IND India
1990 72 61 127 3 IDN Indonesia
1991 58 57 133 3 IDN Indonesia
1999 187 179 258 3 IDN Indonesia
2000 286 242 332 3 IDN Indonesia
2001 278 254 306 3 IDN Indonesia
2002 466 429 571 3 IDN Indonesia
2003 868 839 1365 3 IDN Indonesia
2004 935 932 1075 3 IDN Indonesia
2005 213 213 215 3 IDN Indonesia
1989 72 72 80 3 IND India
1990 25 25 25 3 IND India
1994 36 36 36 3 IND India
1996 25 25 27 3 IND India
1997 34 34 34 3 BTN: IND Bhutan:_India
1998 31 31 31 3 IND India
1999 33 33 33 3 IND India
2001 77 77 77 3 IND India
2002 44 44 44 3 IND India
2003 109 109 122 3 IND India
2004 27 27 27 3 IND India
2009 73 69 78 3 IND India
2010 57 57 86 3 IND India
1997 130 130 130 3 MMR  Myanmar_(Burma)
2003 26 26 27 3 THA Thailand
2004 164 162 170 3 THA Thailand
2005 205 202 212 3 THA Thailand
2006 212 212 217 3 THA Thailand
2007 197 197 206 3 THA Thailand
2008 130 130 133 3 THA Thailand
2009 138 135 138 3 THA Thailand
2010 75 73 78 3 THA Thailand
2011 143 143 149 3 THA Thailand
2012 131 131 132 3 THA Thailand
2013 189 188 192 3 THA Thailand
2014 68 62 72 3 THA Thailand
2015 57 56 57 3 THA Thailand
2016 50 49 50 3 THA Thailand
2017 43 43 43 3 THA Thailand
2018 36 27 36 3 THA Thailand
2019 55 54 55 3 THA Thailand
2020 46 38 47 3 THA Thailand
2021 38 30 38 3 THA Thailand
2008 25 25 25 3 IND India
2009 80 80 270 3 CHN: MMR  China:_Myanmar_(Burma)
2014 67 7 107 3 MMR  Myanmar_(Burma)
2015 309 307 2448 3 CHN: MMR  China:_Myanmar_(Burma)
2017 35 35 49 3 MMR  Myanmar_(Burma)
2021 71 71 337 3 MMR  Myanmar_(Burma)
