Entity,Code,Year,3_1_Researchers_per_million
Macao,MAC,2013,913.2760009765625
Macao,MAC,2014,1031.4669189453125
Macao,MAC,2015,1276.890625
Macao,MAC,2016,2648.294189453125
Macao,MAC,2017,3227.404052734375
Macao,MAC,2018,3543.206298828125
Malaysia,MYS,1996,90.11489868164062
Malaysia,MYS,1998,154.46771240234375
Malaysia,MYS,2000,276.9090576171875
Malaysia,MYS,2002,295.6619567871094
Malaysia,MYS,2004,502.9444885253906
Malaysia,MYS,2006,369.9837646484375
Malaysia,MYS,2008,600.107421875
Malaysia,MYS,2009,1067.5369873046875
Malaysia,MYS,2010,1462.46875
Malaysia,MYS,2011,1648.8836669921875
Malaysia,MYS,2012,1790.694580078125
Malaysia,MYS,2014,2054.167236328125
Malaysia,MYS,2015,2307.954345703125
Malaysia,MYS,2016,2396.5400390625
Malaysia,MYS,2018,2184.722412109375
Myanmar,MMR,1997,7.306690216064453
Myanmar,MMR,1998,7.366610050201416
Myanmar,MMR,1999,11.043479919433594
Myanmar,MMR,2001,12.154549598693848
Myanmar,MMR,2002,17.546369552612305
Myanmar,MMR,2017,29.073190689086914
Nepal,NPL,2002,60.66579818725586
Oman,OMN,2011,148.75851440429688
Oman,OMN,2012,172.55775451660156
Oman,OMN,2013,132.07693481445312
Oman,OMN,2014,177.91253662109375
Oman,OMN,2015,212.53692626953125
Oman,OMN,2016,239.80296325683594
Oman,OMN,2017,242.41050720214844
Oman,OMN,2018,281.1611022949219
Philippines,PHL,2002,53.74530029296875
Philippines,PHL,2003,70.5582275390625
Philippines,PHL,2005,79.88300323486328
Philippines,PHL,2007,77.81401824951172
Philippines,PHL,2009,81.2126235961914
Philippines,PHL,2011,84.10553741455078
Philippines,PHL,2013,186.91775512695312
Philippines,PHL,2015,105.68077850341797
Singapore,SGP,1996,2503.44482421875
Singapore,SGP,1997,2586.2841796875
Singapore,SGP,1998,2951.8115234375
Singapore,SGP,1999,3185.648193359375
Singapore,SGP,2000,4128.40478515625
Singapore,SGP,2001,4105.91748046875
Singapore,SGP,2002,4414.81005859375
Singapore,SGP,2003,4849.2998046875
Singapore,SGP,2004,5113.2705078125
Singapore,SGP,2005,5576.89990234375
Singapore,SGP,2006,5686.4013671875
Singapore,SGP,2007,5962.7880859375
Singapore,SGP,2008,5829.34326171875
Singapore,SGP,2009,6146.3828125
Singapore,SGP,2010,6241.861328125
Singapore,SGP,2011,6405.068359375
Singapore,SGP,2012,6356.671875
Singapore,SGP,2013,6603.11181640625
Singapore,SGP,2014,6632.24365234375
Singapore,SGP,2015,7006.63037109375
Singapore,SGP,2016,6934.91064453125
Singapore,SGP,2017,6802.537109375
South Korea,KOR,1996,2173.350341796875
South Korea,KOR,1997,2222.267822265625
South Korea,KOR,1998,1984.97705078125
South Korea,KOR,1999,2131.358642578125
South Korea,KOR,2000,2287.28857421875
South Korea,KOR,2001,2857.84521484375
South Korea,KOR,2002,2956.632080078125
South Korea,KOR,2003,3134.090087890625
South Korea,KOR,2004,3221.460205078125
South Korea,KOR,2005,3692.16552734375
South Korea,KOR,2006,4091.4111328125
South Korea,KOR,2007,4525.93212890625
South Korea,KOR,2008,4801.2421875
South Korea,KOR,2009,4946.0859375
South Korea,KOR,2010,5330.80126953125
South Korea,KOR,2011,5802.8369140625
South Korea,KOR,2012,6304.13818359375
South Korea,KOR,2013,6392.63623046875
South Korea,KOR,2014,6826.27392578125
South Korea,KOR,2015,7013.49072265625
South Korea,KOR,2016,7086.4462890625
South Korea,KOR,2017,7497.59619140625
South Korea,KOR,2018,7980.3955078125
Sri Lanka,LKA,1996,187.7250518798828
Sri Lanka,LKA,2000,135.10777282714844
Sri Lanka,LKA,2004,138.18429565429688
Sri Lanka,LKA,2006,93.06471252441406
Sri Lanka,LKA,2008,98.67902374267578
Sri Lanka,LKA,2010,105.6177978515625
Sri Lanka,LKA,2013,110.14833068847656
Sri Lanka,LKA,2014,98.94889068603516
Sri Lanka,LKA,2015,105.98799896240234
Sri Lanka,LKA,2016,106.84467315673828
Sri Lanka,LKA,2017,106.39893341064453
Thailand,THA,1996,100.41545867919922
Thailand,THA,1997,72.46092987060547
Thailand,THA,1999,167.22694396972656
Thailand,THA,2001,278.7255859375
Thailand,THA,2003,280.6202697753906
Thailand,THA,2005,313.46978759765625
Thailand,THA,2007,323.22955322265625
Thailand,THA,2009,329.0121154785156
Thailand,THA,2011,538.5199584960938
Thailand,THA,2013,790.8927001953125
Thailand,THA,2014,963.8546142578125
Thailand,THA,2015,864.6790771484375
Thailand,THA,2016,1208.458984375
Thailand,THA,2017,1350.34326171875
Vietnam,VNM,2002,114.40569305419922
Vietnam,VNM,2013,679.4627075195312
Vietnam,VNM,2015,678.5604858398438
Vietnam,VNM,2017,707.7435913085938
